frame,time,class,probability
0,0:00:00,tawowl1,0.09082677960395813
1,0:00:05,loeowl,0.061879225075244904
2,0:00:10,rinphe,0.05119070038199425
3,0:00:15,comrav,0.05057625100016594
4,0:00:20,comeid,0.053999822586774826
5,0:00:25,rinphe,0.06637081503868103
6,0:00:30,commoo3,0.1557919979095459
7,0:00:35,loeowl,0.38586652278900146
8,0:00:40,comcra,0.04491060972213745
9,0:00:45,comrav,0.1666906177997589
10,0:00:50,tawowl1,0.03208772465586662
11,0:00:55,tawowl1,0.04423326626420021
12,0:01:00,loeowl,0.030589835718274117
13,0:01:05,loeowl,0.08012998104095459
14,0:01:10,tawowl1,0.05081677436828613
15,0:01:15,tawowl1,0.04928036779165268
16,0:01:20,rinphe,0.05940074846148491
17,0:01:25,blagro1,0.07504517585039139
18,0:01:30,comrav,0.0994035080075264
19,0:01:35,corbun1,0.033753104507923126
20,0:01:40,tawowl1,0.03853647783398628
21,0:01:45,comrav,0.09447115659713745
22,0:01:50,rinphe,0.05224476754665375
23,0:01:55,blawoo1,0.06150079518556595
24,0:02:00,commoo3,0.03932955861091614
25,0:02:05,rocpig,0.1354127675294876
26,0:02:10,loeowl,0.06468991935253143
27,0:02:15,comrav,0.13575439155101776
28,0:02:20,loeowl,0.0869235023856163
29,0:02:25,loeowl,0.04746121168136597
30,0:02:30,rinphe,0.0701504498720169
31,0:02:35,rinphe,0.048725567758083344
32,0:02:40,comrav,0.04374268651008606
33,0:02:45,eurcoo,0.03621256723999977
34,0:02:50,loeowl,0.04275370389223099
35,0:02:55,blawoo1,0.15863656997680664
36,0:03:00,norsho,0.07366498559713364
37,0:03:05,loeowl,0.08707329630851746
38,0:03:10,comcra,0.14874762296676636
39,0:03:15,rinphe,0.05144038423895836
40,0:03:20,rinphe,0.06072975695133209
41,0:03:25,loeowl,0.03602101653814316
42,0:03:30,hazgro1,0.07021022588014603
43,0:03:35,comrav,0.09595278650522232
44,0:03:40,blawoo1,0.10310336947441101
45,0:03:45,blawoo1,0.10062891244888306
46,0:03:50,loeowl,0.039847809821367264
47,0:03:55,rinphe,0.03553501516580582
48,0:04:00,blawoo1,0.047325681895017624
49,0:04:05,rinphe,0.08191127330064774
50,0:04:10,comrav,0.0341622494161129
51,0:04:15,tawowl1,0.06003053858876228
52,0:04:20,hazgro1,0.03572772070765495
53,0:04:25,loeowl,0.06002344563603401
54,0:04:30,blawoo1,0.09774664044380188
55,0:04:35,comrav,0.12901726365089417
56,0:04:40,comrav,0.043158743530511856
57,0:04:45,comrav,0.04128408804535866
58,0:04:50,rinphe,0.08086878061294556
59,0:04:55,norsho,0.09547480940818787
60,0:05:00,loeowl,0.06404612213373184
61,0:05:05,yellow2,0.07704885303974152
62,0:05:10,rinphe,0.027368750423192978
63,0:05:15,norsho,0.027326660230755806
64,0:05:20,loeowl,0.0634404867887497
65,0:05:25,loeowl,0.03630303591489792
66,0:05:30,redcro,0.10050202161073685
67,0:05:35,eueowl1,0.03982590138912201
68,0:05:40,blawoo1,0.11238927394151688
69,0:05:45,comrav,0.06787209957838058
70,0:05:50,blawoo1,0.02610584907233715
71,0:05:55,rinphe,0.07587860524654388
72,0:06:00,blawoo1,0.03424614667892456
73,0:06:05,hazgro1,0.039774537086486816
74,0:06:10,rinphe,0.035228896886110306
75,0:06:15,tawowl1,0.040474213659763336
76,0:06:20,loeowl,0.05210994929075241
77,0:06:25,loeowl,0.09010952711105347
78,0:06:30,redcro,0.27999812364578247
79,0:06:35,loeowl,0.030939359217882156
80,0:06:40,loeowl,0.10643079876899719
81,0:06:45,ettwoo1,0.3019111156463623
82,0:06:50,loeowl,0.04840175807476044
83,0:06:55,tawowl1,0.0435357429087162
84,0:07:00,loeowl,0.07204566150903702
85,0:07:05,corbun1,0.03782054781913757
86,0:07:10,loeowl,0.25825679302215576
87,0:07:15,tawowl1,0.036694541573524475
88,0:07:20,tawowl1,0.03359879180788994
89,0:07:25,rinphe,0.05716247484087944
90,0:07:30,hazgro1,0.03768802434206009
91,0:07:35,comrav,0.06134020537137985
92,0:07:40,tawowl1,0.03971896320581436
93,0:07:45,comrav,0.05246980860829353
94,0:07:50,rinphe,0.0546041764318943
95,0:07:55,tawowl1,0.05144857242703438
96,0:08:00,rinphe,0.058116745203733444
97,0:08:05,hazgro1,0.03897976130247116
98,0:08:10,loeowl,0.1724521666765213
99,0:08:15,loeowl,0.027340326458215714
100,0:08:20,loeowl,0.09073477983474731
101,0:08:25,eueowl1,0.12172579020261765
102,0:08:30,hazgro1,0.04647525027394295
103,0:08:35,tawowl1,0.02992299199104309
104,0:08:40,blawoo1,0.03920212388038635
105,0:08:45,rinphe,0.07322010397911072
106,0:08:50,comrav,0.036462727934122086
107,0:08:55,saggro,0.07314064353704453
108,0:09:00,loeowl,0.04967406392097473
109,0:09:05,blawoo1,0.10591199994087219
110,0:09:10,comrav,0.09247336536645889
111,0:09:15,loeowl,0.05309375002980232
112,0:09:20,loeowl,0.032483819872140884
113,0:09:25,hazgro1,0.04515845328569412
114,0:09:30,rinphe,0.15230561792850494
115,0:09:35,rinphe,0.09066945314407349
116,0:09:40,blawoo1,0.06666626036167145
117,0:09:45,blagro1,0.04087679833173752
