frame,time,class,probability
0,0:00:00,blutit,0.3216319680213928
1,0:00:05,tawowl1,0.02345355972647667
2,0:00:10,eurrob1,0.063222236931324
3,0:00:15,commoo3,0.0537489615380764
4,0:00:20,eurrob1,0.06155266612768173
5,0:00:25,litbit1,0.10243739187717438
6,0:00:30,eurcoo,0.11513940989971161
7,0:00:35,loeowl,0.10312413424253464
8,0:00:40,ortbun1,0.06289661675691605
9,0:00:45,loeowl,0.11089730262756348
10,0:00:50,ortbun1,0.040917567908763885
11,0:00:55,ortbun1,0.04476597532629967
12,0:01:00,tawowl1,0.04734242334961891
13,0:01:05,loeowl,0.057576026767492294
14,0:01:10,tawowl1,0.07518777251243591
15,0:01:15,loeowl,0.07301299273967743
16,0:01:20,tawowl1,0.09154707938432693
17,0:01:25,loeowl,0.11523960530757904
18,0:01:30,loeowl,0.10446975380182266
19,0:01:35,sonthr1,0.2640037536621094
20,0:01:40,loeowl,0.06370268762111664
21,0:01:45,tawowl1,0.04088417813181877
22,0:01:50,loeowl,0.10431056469678879
23,0:01:55,loeowl,0.057069286704063416
24,0:02:00,eurcoo,0.08070565015077591
25,0:02:05,loeowl,0.059178970754146576
26,0:02:10,rocbun1,0.26623645424842834
27,0:02:15,tawowl1,0.04967008903622627
28,0:02:20,eurcoo,0.08022068440914154
29,0:02:25,ortbun1,0.08502942323684692
30,0:02:30,tawowl1,0.09665672481060028
31,0:02:35,loeowl,0.08282487839460373
32,0:02:40,tawowl1,0.045971017330884933
33,0:02:45,loeowl,0.07837262004613876
34,0:02:50,commoo3,0.07576685398817062
35,0:02:55,ortbun1,0.23243607580661774
36,0:03:00,tawowl1,0.05524326115846634
37,0:03:05,eurrob1,0.5097969770431519
38,0:03:10,loeowl,0.0821714922785759
39,0:03:15,eueowl1,0.07092829793691635
40,0:03:20,tawowl1,0.055320192128419876
41,0:03:25,grebit1,0.0909181609749794
42,0:03:30,grebit1,0.05861721932888031
43,0:03:35,tawowl1,0.0622093603014946
44,0:03:40,loeowl,0.06413912773132324
45,0:03:45,loeowl,0.13276472687721252
46,0:03:50,loeowl,0.10520494729280472
47,0:03:55,eueowl1,0.07578269392251968
48,0:04:00,loeowl,0.12766608595848083
49,0:04:05,loeowl,0.15519797801971436
