frame,time,class,probability
0,0:00:00,martit2,0.403940886259079
1,0:00:05,gretit1,0.28209346532821655
2,0:00:10,blutit,0.45109978318214417
3,0:00:15,lottit1,0.10094289481639862
4,0:00:20,blutit,0.5871832370758057
5,0:00:25,blutit,0.6265183091163635
6,0:00:30,blutit,0.41983020305633545
7,0:00:35,eurrob1,0.11649682372808456
8,0:00:40,blutit,0.5905963778495789
9,0:00:45,blutit,0.26363635063171387
10,0:00:50,blawoo1,0.11597635596990585
11,0:00:55,blutit,0.6360976099967957
12,0:01:00,blutit,0.7883080244064331
13,0:01:05,lottit1,0.14088985323905945
14,0:01:10,blutit,0.8212807178497314
15,0:01:15,blutit,0.12330246716737747
16,0:01:20,blutit,0.6047135591506958
17,0:01:25,coatit2,0.18884247541427612
18,0:01:30,shttre1,0.522693395614624
19,0:01:35,blutit,0.5458963513374329
20,0:01:40,gretit1,0.46371275186538696
21,0:01:45,martit2,0.3019605875015259
22,0:01:50,martit2,0.13745008409023285
23,0:01:55,blutit,0.12847977876663208
24,0:02:00,eurtre1,0.2018003612756729
25,0:02:05,blutit,0.22725358605384827
26,0:02:10,eurrob1,0.08160419762134552
27,0:02:15,gretit1,0.4436534345149994
28,0:02:20,lottit1,0.08606839925050735
29,0:02:25,martit2,0.545676589012146
30,0:02:30,martit2,0.34918156266212463
31,0:02:35,eurrob1,0.51967853307724
32,0:02:40,eurrob1,0.339889794588089
33,0:02:45,eurrob1,0.18161988258361816
34,0:02:50,gretit1,0.2585272490978241
35,0:02:55,eurrob1,0.6218296885490417
36,0:03:00,eurrob1,0.6584633588790894
37,0:03:05,eurrob1,0.33485451340675354
38,0:03:10,eurrob1,0.865725576877594
39,0:03:15,martit2,0.998769223690033
40,0:03:20,eurrob1,0.35755062103271484
41,0:03:25,eurnut2,0.7169761061668396
42,0:03:30,eurnut2,0.9141826629638672
43,0:03:35,eurnut2,0.4670962691307068
44,0:03:40,eurnut2,0.6889104843139648
45,0:03:45,eurnut2,0.9806813597679138
46,0:03:50,eurnut2,0.9201439023017883
47,0:03:55,eurnut2,0.6991980075836182
48,0:04:00,comcha,0.28838494420051575
49,0:04:05,martit2,0.5495951175689697
50,0:04:10,gretit1,0.9085842967033386
51,0:04:15,martit2,0.6577122211456299
52,0:04:20,martit2,0.9931442737579346
53,0:04:25,blutit,0.7258749604225159
54,0:04:30,blutit,0.27982664108276367
55,0:04:35,gretit1,0.2504054605960846
56,0:04:40,blutit,0.41142934560775757
57,0:04:45,martit2,0.9801411032676697
58,0:04:50,gretit1,0.432399183511734
59,0:04:55,blutit,0.21651619672775269
60,0:05:00,shttre1,0.2596393823623657
61,0:05:05,blutit,0.32341238856315613
62,0:05:10,eurrob1,0.5567668080329895
63,0:05:15,hawfin,0.2849695682525635
64,0:05:20,eurrob1,0.3283365070819855
65,0:05:25,hawfin,0.3603907823562622
66,0:05:30,hawfin,0.367551326751709
67,0:05:35,martit2,0.1893746554851532
68,0:05:40,gretit1,0.6553353071212769
69,0:05:45,grswoo,0.3788253664970398
70,0:05:50,grswoo,0.340908944606781
71,0:05:55,grswoo,0.8883432745933533
72,0:06:00,martit2,0.7483021020889282
73,0:06:05,grswoo,0.712788999080658
74,0:06:10,grswoo,0.7760019898414612
75,0:06:15,grswoo,0.37401720881462097
76,0:06:20,grswoo,0.38189104199409485
77,0:06:25,redcro,0.46173587441444397
78,0:06:30,redcro,0.42366403341293335
79,0:06:35,martit2,0.21377962827682495
80,0:06:40,grswoo,0.29047268629074097
