frame,time,class,probability
0,0:00:00,blawoo1,0.22880645096302032
1,0:00:05,blawoo1,0.14979058504104614
2,0:00:10,waterc1,0.34179601073265076
3,0:00:15,blawoo1,0.5822564959526062
4,0:00:20,blawoo1,0.42520639300346375
5,0:00:25,comrav,0.05804727226495743
6,0:00:30,blawoo1,0.06457867473363876
7,0:00:35,whtspa,0.1355721652507782
8,0:00:40,blawoo1,0.46009957790374756
9,0:00:45,blawoo1,0.5529881119728088
10,0:00:50,blawoo1,0.5424415469169617
11,0:00:55,rinphe,0.053710151463747025
12,0:01:00,jacsni,0.04091327637434006
13,0:01:05,blawoo1,0.10372375696897507
14,0:01:10,loeowl,0.05400678142905235
15,0:01:15,blawoo1,0.05911773443222046
16,0:01:20,blawoo1,0.23420347273349762
17,0:01:25,blawoo1,0.09303998947143555
18,0:01:30,blawoo1,0.20325639843940735
19,0:01:35,blawoo1,0.2970117926597595
20,0:01:40,blawoo1,0.36839258670806885
21,0:01:45,blawoo1,0.05181409418582916
22,0:01:50,hazgro1,0.025296812877058983
23,0:01:55,rinphe,0.046087250113487244
24,0:02:00,rocpig,0.0626658946275711
25,0:02:05,blawoo1,0.08465933799743652
26,0:02:10,blawoo1,0.6687594652175903
27,0:02:15,blawoo1,0.5840412378311157
28,0:02:20,blawoo1,0.07947015762329102
29,0:02:25,blawoo1,0.46071669459342957
30,0:02:30,blawoo1,0.04429981857538223
31,0:02:35,blawoo1,0.12248018383979797
32,0:02:40,blawoo1,0.06701725721359253
33,0:02:45,blawoo1,0.841225802898407
34,0:02:50,blawoo1,0.1083969995379448
35,0:02:55,blawoo1,0.04736403003334999
36,0:03:00,blawoo1,0.19229024648666382
37,0:03:05,blawoo1,0.23002977669239044
38,0:03:10,blawoo1,0.15995332598686218
39,0:03:15,blawoo1,0.32876402139663696
40,0:03:20,blawoo1,0.17752456665039062
41,0:03:25,eurcoo,0.025387097150087357
42,0:03:30,blawoo1,0.10707297176122665
43,0:03:35,saggro,0.12248636782169342
44,0:03:40,blawoo1,0.18376265466213226
45,0:03:45,blawoo1,0.2525468170642853
46,0:03:50,loeowl,0.08045677840709686
47,0:03:55,blawoo1,0.6149541139602661
48,0:04:00,blawoo1,0.09332749247550964
