frame,time,class,probability,probability_rank
0,0:00:00,tawowl1,0.038754578679800034,1
0,0:00:00,brnowl,0.03388994559645653,2
0,0:00:00,comqua1,0.022956985980272293,3
0,0:00:00,loeowl,0.019798386842012405,4
0,0:00:00,eurnig1,0.019222140312194824,5
1,0:00:05,brnowl,0.1367747038602829,1
1,0:00:05,eueowl1,0.07577532529830933,2
1,0:00:05,tawowl1,0.0395970493555069,3
1,0:00:05,loeowl,0.03260137885808945,4
1,0:00:05,grebit1,0.03075915388762951,5
2,0:00:10,tawowl1,0.05765675753355026,1
2,0:00:10,eueowl1,0.043918609619140625,2
2,0:00:10,watrai1,0.042153581976890564,3
2,0:00:10,commoo3,0.04016562178730965,4
2,0:00:10,eurcoo,0.03762270137667656,5
3,0:00:15,tawowl1,0.07397940754890442,1
3,0:00:15,eueowl1,0.0492074154317379,2
3,0:00:15,watrai1,0.04547026753425598,3
3,0:00:15,loeowl,0.04106773063540459,4
3,0:00:15,eurcoo,0.040589477866888046,5
4,0:00:20,tawowl1,0.06390368938446045,1
4,0:00:20,eueowl1,0.05456175655126572,2
4,0:00:20,commoo3,0.04792524129152298,3
4,0:00:20,watrai1,0.0463876873254776,4
4,0:00:20,eurcoo,0.04004432633519173,5
5,0:00:25,tawowl1,0.057892732322216034,1
5,0:00:25,eueowl1,0.03919947147369385,2
5,0:00:25,brnowl,0.03599274903535843,3
5,0:00:25,eurcoo,0.03555171564221382,4
5,0:00:25,watrai1,0.030529439449310303,5
6,0:00:30,tawowl1,0.0512276366353035,1
6,0:00:30,eueowl1,0.048934295773506165,2
6,0:00:30,loeowl,0.043493904173374176,3
6,0:00:30,watrai1,0.036102406680583954,4
6,0:00:30,eurcoo,0.03224436193704605,5
7,0:00:35,brnowl,0.12764815986156464,1
7,0:00:35,commoo3,0.09141082316637039,2
7,0:00:35,eurcoo,0.06499088555574417,3
7,0:00:35,tawowl1,0.04478764533996582,4
7,0:00:35,whimbr,0.03426763787865639,5
8,0:00:40,brnowl,0.4684644937515259,1
8,0:00:40,tawowl1,0.041201598942279816,2
8,0:00:40,loeowl,0.03515690937638283,3
8,0:00:40,eueowl1,0.030933039262890816,4
8,0:00:40,litowl1,0.021508047357201576,5
9,0:00:45,tawowl1,0.11253844946622849,1
9,0:00:45,watrai1,0.06925355643033981,2
9,0:00:45,commoo3,0.057136405259370804,3
9,0:00:45,eurcoo,0.05248432978987694,4
9,0:00:45,eueowl1,0.04279651492834091,5
10,0:00:50,eurcoo,0.055078037083148956,1
10,0:00:50,watrai1,0.04934113100171089,2
10,0:00:50,commoo3,0.0475134402513504,3
10,0:00:50,comqua1,0.035678230226039886,4
10,0:00:50,tawowl1,0.03498389571905136,5
11,0:00:55,commoo3,0.08421448618173599,1
11,0:00:55,tawowl1,0.07303867489099503,2
11,0:00:55,eurcoo,0.05362962558865547,3
11,0:00:55,watrai1,0.0533919595181942,4
11,0:00:55,eueowl1,0.04628748819231987,5
12,0:01:00,commoo3,0.10806628316640854,1
12,0:01:00,eurcoo,0.09662967920303345,2
12,0:01:00,watrai1,0.05469655990600586,3
12,0:01:00,tawowl1,0.04855314642190933,4
12,0:01:00,eueowl1,0.03130656108260155,5
13,0:01:05,tawowl1,0.07821023464202881,1
13,0:01:05,eurcoo,0.07315757125616074,2
13,0:01:05,commoo3,0.06529207527637482,3
13,0:01:05,eurnig1,0.05236257612705231,4
13,0:01:05,eueowl1,0.041553396731615067,5
14,0:01:10,commoo3,0.0716102197766304,1
14,0:01:10,eurnig1,0.06499127298593521,2
14,0:01:10,eueowl1,0.052630167454481125,3
14,0:01:10,eurcoo,0.04788244143128395,4
14,0:01:10,tawowl1,0.043501466512680054,5
15,0:01:15,tawowl1,0.07791092991828918,1
15,0:01:15,commoo3,0.05690303072333336,2
