frame,time,class,probability,probability_rank
0,0:00:00,grswoo,0.9613795876502991,1
0,0:00:00,brambl,0.015569380484521389,2
0,0:00:00,eursis,0.002207377227023244,3
0,0:00:00,comchi1,0.0016707857139408588,4
0,0:00:00,comros,0.001384991337545216,5
1,0:00:05,grswoo,0.977997899055481,1
1,0:00:05,brambl,0.0022774040699005127,2
1,0:00:05,blackc1,0.0017054153140634298,3
1,0:00:05,barswa,0.0015693830791860819,4
1,0:00:05,comred,0.0008008957374840975,5
2,0:00:10,grswoo,0.9909434914588928,1
2,0:00:10,leswoo1,0.0014145574532449245,2
2,0:00:10,winwre4,0.000600089377257973,3
2,0:00:10,eurbla,0.0004955714684911072,4
2,0:00:10,eurrob1,0.0002886122092604637,5
3,0:00:15,grswoo,0.9951131939888,1
3,0:00:15,leswoo1,0.0008705091895535588,2
3,0:00:15,winwre4,0.0005208065849728882,3
3,0:00:15,eurbla,0.00023649909417144954,4
3,0:00:15,eurrob1,0.00014929956523701549,5
4,0:00:20,grswoo,0.9888336658477783,1
4,0:00:20,winwre4,0.0022977052722126245,2
4,0:00:20,leswoo1,0.0013691768981516361,3
4,0:00:20,eurbla,0.00036213448038324714,4
4,0:00:20,sonthr1,0.00035288071376271546,5
5,0:00:25,grswoo,0.9877968430519104,1
5,0:00:25,leswoo1,0.0011359223863109946,2
5,0:00:25,cetwar1,0.0005169898504391313,3
5,0:00:25,winwre4,0.0004368533845990896,4
5,0:00:25,barswa,0.00041635477100498974,5
6,0:00:30,grswoo,0.971527099609375,1
6,0:00:30,labwoo,0.0019553496968001127,2
6,0:00:30,eurbla,0.0014903944684192538,3
6,0:00:30,winwre4,0.0013662041164934635,4
6,0:00:30,leswoo1,0.0012563408818095922,5
7,0:00:35,grswoo,0.9803428053855896,1
7,0:00:35,eurjay1,0.006914743222296238,2
7,0:00:35,leswoo1,0.001372039783746004,3
7,0:00:35,winwre4,0.0008514234214089811,4
7,0:00:35,eurbla,0.0007973463507369161,5
8,0:00:40,grswoo,0.9937812685966492,1
8,0:00:40,leswoo1,0.0015678770141676068,2
8,0:00:40,eurbla,0.0002993145026266575,3
8,0:00:40,eurrob1,0.0002592587552499026,4
8,0:00:40,winwre4,0.0002264143549837172,5
9,0:00:45,grswoo,0.9643973708152771,1
9,0:00:45,commoo3,0.005522946827113628,2
9,0:00:45,tawowl1,0.0026182392612099648,3
9,0:00:45,eurcoo,0.002116268267855048,4
9,0:00:45,watrai1,0.0014046672731637955,5
10,0:00:50,eurrob1,0.15309354662895203,1
10,0:00:50,lottit1,0.06503181159496307,2
10,0:00:50,blutit,0.06245200335979462,3
10,0:00:50,gretit1,0.06227954104542732,4
10,0:00:50,comcha,0.04053380712866783,5
11,0:00:55,grswoo,0.9950776696205139,1
11,0:00:55,leswoo1,0.0005892904591746628,2
11,0:00:55,eurrob1,0.00037919366150163114,3
11,0:00:55,eurbla,0.00024578123702667654,4
11,0:00:55,winwre4,0.00022429830278269947,5
12,0:01:00,grswoo,0.7501657009124756,1
12,0:01:00,tawowl1,0.013729429803788662,2
12,0:01:00,winwre4,0.011419705115258694,3
12,0:01:00,eurbla,0.010587388649582863,4
12,0:01:00,eurrob1,0.009399753995239735,5
13,0:01:05,grswoo,0.1336221843957901,1
13,0:01:05,litowl1,0.07146915793418884,2
13,0:01:05,eueowl1,0.031310733407735825,3
13,0:01:05,eurrob1,0.024754920974373817,4
13,0:01:05,tawowl1,0.023179614916443825,5
14,0:01:10,tawowl1,0.04766922816634178,1
14,0:01:10,eueowl1,0.033820535987615585,2
14,0:01:10,loeowl,0.023822717368602753,3
14,0:01:10,brnowl,0.02311352640390396,4
14,0:01:10,eurrob1,0.020952723920345306,5
15,0:01:15,comchi1,0.18749764561653137,1
15,0:01:15,comcha,0.05458479002118111,2
15,0:01:15,shttre1,0.03475462645292282,3
15,0:01:15,eurbla,0.029532399028539658,4
15,0:01:15,coatit2,0.028209351003170013,5
