frame,time,class,probability,probability_rank
0,0:00:00,loeowl,0.06532904505729675,1
0,0:00:00,tawowl1,0.06243311986327171,2
0,0:00:00,eurnig1,0.029378725215792656,3
0,0:00:00,eueowl1,0.023763170465826988,4
0,0:00:00,comrav,0.016944879665970802,5
1,0:00:05,tawowl1,0.12723082304000854,1
1,0:00:05,loeowl,0.08085831254720688,2
1,0:00:05,eurcoo,0.040900807827711105,3
1,0:00:05,commoo3,0.034142687916755676,4
1,0:00:05,eurnig1,0.03373156115412712,5
2,0:00:10,tawowl1,0.15695072710514069,1
2,0:00:10,loeowl,0.07886453717947006,2
2,0:00:10,eurcoo,0.0595308318734169,3
2,0:00:10,commoo3,0.03262997791171074,4
2,0:00:10,eurnig1,0.03165389969944954,5
3,0:00:15,eurrob1,0.1231674775481224,1
3,0:00:15,tawowl1,0.10731662064790726,2
3,0:00:15,goldcr1,0.040902990847826004,3
3,0:00:15,loeowl,0.03699702396988869,4
3,0:00:15,eurnig1,0.031234122812747955,5
4,0:00:20,tawowl1,0.13609296083450317,1
4,0:00:20,loeowl,0.09747353196144104,2
4,0:00:20,commoo3,0.03841251879930496,3
4,0:00:20,uraowl1,0.03728942945599556,4
4,0:00:20,eurcoo,0.035207998007535934,5
5,0:00:25,tawowl1,0.10388623178005219,1
5,0:00:25,loeowl,0.07618441432714462,2
5,0:00:25,eurcoo,0.03433889150619507,3
5,0:00:25,eurnig1,0.03347574174404144,4
5,0:00:25,grebit1,0.025514451786875725,5
6,0:00:30,tawowl1,0.18749703466892242,1
6,0:00:30,loeowl,0.11185677349567413,2
6,0:00:30,eurcoo,0.05183594673871994,3
6,0:00:30,commoo3,0.03717457130551338,4
6,0:00:30,borowl,0.028843890875577927,5
7,0:00:35,tawowl1,0.1222493126988411,1
7,0:00:35,loeowl,0.09746085107326508,2
7,0:00:35,commoo3,0.054708436131477356,3
7,0:00:35,eurcoo,0.04336382821202278,4
7,0:00:35,uraowl1,0.032405007630586624,5
