frame,time,class,probability,probability_rank
0,0:00:00,blawoo1,0.09360314160585403,1
0,0:00:00,eurnig1,0.06939958035945892,2
0,0:00:00,ortbun1,0.021032575517892838,3
0,0:00:00,whtspa,0.018351659178733826,4
0,0:00:00,tawowl1,0.018323013558983803,5
1,0:00:05,blawoo1,0.7551379203796387,1
1,0:00:05,grswoo,0.05637030676007271,2
1,0:00:05,whbwoo1,0.01710992492735386,3
1,0:00:05,ettwoo1,0.013747677206993103,4
1,0:00:05,eurnig1,0.00810659397393465,5
2,0:00:10,blawoo1,0.20533539354801178,1
2,0:00:10,grswoo,0.04881490021944046,2
2,0:00:10,ettwoo1,0.04504281282424927,3
2,0:00:10,eurnig1,0.04442689195275307,4
2,0:00:10,loeowl,0.04315504431724548,5
3,0:00:15,whtspa,0.05191575363278389,1
3,0:00:15,eurnig1,0.04316124692559242,2
3,0:00:15,loeowl,0.020666716620326042,3
3,0:00:15,ortbun1,0.020599951967597008,4
3,0:00:15,sonthr1,0.017012182623147964,5
4,0:00:20,blawoo1,0.08755345642566681,1
4,0:00:20,eurnig1,0.05232767015695572,2
4,0:00:20,commoo3,0.03217446431517601,3
4,0:00:20,loeowl,0.030225170776247978,4
4,0:00:20,whimbr,0.025082828477025032,5
5,0:00:25,blawoo1,0.9023363590240479,1
5,0:00:25,grswoo,0.03654465079307556,2
5,0:00:25,ettwoo1,0.012104565277695656,3
5,0:00:25,whbwoo1,0.005513832904398441,4
5,0:00:25,hawfin,0.0028732018545269966,5
6,0:00:30,blawoo1,0.10619134455919266,1
6,0:00:30,eurnig1,0.04141142964363098,2
6,0:00:30,loeowl,0.023925254121422768,3
6,0:00:30,whtspa,0.02390051633119583,4
6,0:00:30,eubeat1,0.01699206419289112,5
7,0:00:35,blawoo1,0.6468324661254883,1
7,0:00:35,eurcoo,0.01980629935860634,2
7,0:00:35,grswoo,0.013332518748939037,3
7,0:00:35,commoo3,0.01147808600217104,4
7,0:00:35,tawowl1,0.011224516667425632,5
8,0:00:40,blawoo1,0.08375758677721024,1
8,0:00:40,commoo3,0.038276415318250656,2
8,0:00:40,comqua1,0.020471854135394096,3
8,0:00:40,ortbun1,0.018430842086672783,4
8,0:00:40,whimbr,0.016571518033742905,5
9,0:00:45,eurcoo,0.07756529003381729,1
9,0:00:45,blawoo1,0.0724707543849945,2
9,0:00:45,eurnig1,0.0452549122273922,3
9,0:00:45,watrai1,0.03359779343008995,4
9,0:00:45,wescap1,0.027281202375888824,5
10,0:00:50,comqua1,0.058932945132255554,1
10,0:00:50,loeowl,0.04326575994491577,2
10,0:00:50,commoo3,0.031000714749097824,3
10,0:00:50,tawowl1,0.026245921850204468,4
10,0:00:50,eurnig1,0.024896984919905663,5
11,0:00:55,blawoo1,0.18069027364253998,1
11,0:00:55,eurnig1,0.03547002747654915,2
11,0:00:55,loeowl,0.023325756192207336,3
11,0:00:55,comqua1,0.01752975396811962,4
11,0:00:55,tawowl1,0.016117066144943237,5
12,0:01:00,blawoo1,0.11286649107933044,1
12,0:01:00,loeowl,0.07888765633106232,2
12,0:01:00,eurnig1,0.06388621032238007,3
12,0:01:00,tawowl1,0.04956546798348427,4
12,0:01:00,sibjay1,0.01774374581873417,5
13,0:01:05,tawowl1,0.05749211832880974,1
13,0:01:05,eurnig1,0.046522896736860275,2
13,0:01:05,eurcoo,0.04315933585166931,3
13,0:01:05,blawoo1,0.043022122234106064,4
13,0:01:05,loeowl,0.03544413670897484,5
14,0:01:10,loeowl,0.04791262000799179,1
14,0:01:10,blawoo1,0.03311324492096901,2
14,0:01:10,comrav,0.02812960557639599,3
14,0:01:10,tawowl1,0.02801622450351715,4
14,0:01:10,eurnig1,0.022169191390275955,5
15,0:01:15,loeowl,0.0791180357336998,1
15,0:01:15,tawowl1,0.06356564164161682,2
15,0:01:15,blawoo1,0.0468670018017292,3
15,0:01:15,eueowl1,0.023046471178531647,4
15,0:01:15,eurcoo,0.017258930951356888,5
16,0:01:20,eurnig1,0.07154088467359543,1
16,0:01:20,tawowl1,0.032947540283203125,2
16,0:01:20,eurcoo,0.03229953348636627,3
16,0:01:20,blawoo1,0.030638141557574272,4
16,0:01:20,loeowl,0.029050104320049286,5
17,0:01:25,blawoo1,0.12174694240093231,1
17,0:01:25,loeowl,0.036841705441474915,2
17,0:01:25,whtspa,0.03195185586810112,3
17,0:01:25,tawowl1,0.021995170041918755,4
17,0:01:25,eurnig1,0.01376071386039257,5
18,0:01:30,blawoo1,0.1996092051267624,1
18,0:01:30,eurcoo,0.0672796219587326,2
18,0:01:30,eurnig1,0.025801856070756912,3
18,0:01:30,whtspa,0.021170537918806076,4
18,0:01:30,hazgro1,0.020340362563729286,5
19,0:01:35,loeowl,0.040076665580272675,1
19,0:01:35,blawoo1,0.032621100544929504,2
19,0:01:35,eurnig1,0.029177764430642128,3
19,0:01:35,hawfin,0.023913413286209106,4
19,0:01:35,tawowl1,0.020001398399472237,5
20,0:01:40,blawoo1,0.2520331144332886,1
20,0:01:40,loeowl,0.05837254971265793,2
20,0:01:40,whtspa,0.023272935301065445,3
20,0:01:40,eurnig1,0.021490320563316345,4
20,0:01:40,tawowl1,0.020388765260577202,5
21,0:01:45,blawoo1,0.24679534137248993,1
21,0:01:45,eurcoo,0.020370375365018845,2
21,0:01:45,eurnig1,0.014813892543315887,3
21,0:01:45,commoo3,0.014659971930086613,4
21,0:01:45,corbun1,0.01409005094319582,5
22,0:01:50,blawoo1,0.049213070422410965,1
22,0:01:50,eurnig1,0.03389328718185425,2
22,0:01:50,loeowl,0.023275014013051987,3
22,0:01:50,whtspa,0.017892131581902504,4
22,0:01:50,whimbr,0.013844559900462627,5
23,0:01:55,eurnig1,0.03350282087922096,1
23,0:01:55,loeowl,0.024332376196980476,2
23,0:01:55,blawoo1,0.020933303982019424,3
23,0:01:55,dowcra1,0.01624245010316372,4
23,0:01:55,watrai1,0.015962759032845497,5
24,0:02:00,blawoo1,0.29426494240760803,1
24,0:02:00,commoo3,0.07719787955284119,2
24,0:02:00,eurcoo,0.05371836572885513,3
24,0:02:00,loeowl,0.033291205763816833,4
24,0:02:00,watrai1,0.01879820227622986,5
25,0:02:05,blawoo1,0.06104513257741928,1
25,0:02:05,loeowl,0.05358894169330597,2
25,0:02:05,tawowl1,0.03209388628602028,3
25,0:02:05,eurnig1,0.02932831272482872,4
25,0:02:05,eueowl1,0.021844247356057167,5
26,0:02:10,comqua1,0.21858714520931244,1
26,0:02:10,eurnig1,0.09376176446676254,2
26,0:02:10,ortbun1,0.036130137741565704,3
26,0:02:10,wesmea,0.018038621172308922,4
26,0:02:10,eubeat1,0.01437707245349884,5
27,0:02:15,cetwar1,0.0553932711482048,1
27,0:02:15,eurnig1,0.039999570697546005,2
27,0:02:15,asistu1,0.030198341235518456,3
27,0:02:15,corbun1,0.0288936085999012,4
27,0:02:15,eurrob1,0.02330595813691616,5
28,0:02:20,blawoo1,0.25329238176345825,1
28,0:02:20,eurnig1,0.06879399716854095,2
28,0:02:20,loeowl,0.050185415893793106,3
28,0:02:20,grswoo,0.015848468989133835,4
28,0:02:20,tawowl1,0.014607028104364872,5
29,0:02:25,blawoo1,0.06045937165617943,1
29,0:02:25,loeowl,0.033863868564367294,2
29,0:02:25,eurnig1,0.024789338931441307,3
29,0:02:25,whtspa,0.023412106558680534,4
29,0:02:25,eueowl1,0.016636649146676064,5
30,0:02:30,blawoo1,0.048770759254693985,1
30,0:02:30,loeowl,0.03877432271838188,2
30,0:02:30,commoo3,0.03643304109573364,3
30,0:02:30,whimbr,0.03051314316689968,4
30,0:02:30,tawowl1,0.02620720863342285,5
31,0:02:35,watrai1,0.05868001654744148,1
31,0:02:35,eurcoo,0.049531031399965286,2
31,0:02:35,tawowl1,0.044010695070028305,3
31,0:02:35,loeowl,0.03841977193951607,4
31,0:02:35,commoo3,0.025286078453063965,5
32,0:02:40,blawoo1,0.1421910971403122,1
32,0:02:40,grswoo,0.05150995030999184,2
32,0:02:40,loeowl,0.03147417679429054,3
32,0:02:40,whtspa,0.024745531380176544,4
32,0:02:40,commoo3,0.02150624804198742,5
33,0:02:45,loeowl,0.066854327917099,1
33,0:02:45,blawoo1,0.04452350735664368,2
33,0:02:45,tawowl1,0.027889583259820938,3
33,0:02:45,watrai1,0.022429099306464195,4
33,0:02:45,ortbun1,0.019968634471297264,5
34,0:02:50,blawoo1,0.04944688454270363,1
34,0:02:50,loeowl,0.024653755128383636,2
34,0:02:50,tawowl1,0.02325000800192356,3
34,0:02:50,yellow2,0.0228208526968956,4
34,0:02:50,eueowl1,0.022511878982186317,5
35,0:02:55,loeowl,0.06869172304868698,1
35,0:02:55,tawowl1,0.061830807477235794,2
35,0:02:55,blawoo1,0.055710382759571075,3
35,0:02:55,eurcoo,0.05505628138780594,4
35,0:02:55,commoo3,0.033387377858161926,5
36,0:03:00,loeowl,0.054510246962308884,1
36,0:03:00,tawowl1,0.043094903230667114,2
36,0:03:00,eurnig1,0.04187764227390289,3
36,0:03:00,eueowl1,0.03757350519299507,4
36,0:03:00,ortbun1,0.018072260543704033,5
37,0:03:05,tawowl1,0.05366235226392746,1
37,0:03:05,loeowl,0.04371413215994835,2
37,0:03:05,eueowl1,0.03088114596903324,3
37,0:03:05,eurnig1,0.026247145608067513,4
37,0:03:05,eurrob1,0.01962096057832241,5
38,0:03:10,blawoo1,0.0631239265203476,1
38,0:03:10,eurnig1,0.05074718967080116,2
38,0:03:10,loeowl,0.04461986571550369,3
38,0:03:10,sibjay1,0.026791956275701523,4
38,0:03:10,hazgro1,0.013324969448149204,5
39,0:03:15,whimbr,0.08694145083427429,1
39,0:03:15,commoo3,0.05726359039545059,2
39,0:03:15,blawoo1,0.052678532898426056,3
39,0:03:15,litgre1,0.030405575409531593,4
39,0:03:15,loeowl,0.026096107438206673,5
40,0:03:20,eurnig1,0.3850620687007904,1
40,0:03:20,blawoo1,0.021367013454437256,2
40,0:03:20,loeowl,0.016560949385166168,3
40,0:03:20,bkbwoo,0.014744806103408337,4
40,0:03:20,tawowl1,0.013093248941004276,5
41,0:03:25,blawoo1,0.9321982860565186,1
41,0:03:25,grswoo,0.006773774046450853,2
41,0:03:25,eurnig1,0.004589895252138376,3
41,0:03:25,loeowl,0.00424153171479702,4
41,0:03:25,whbwoo1,0.0032511528115719557,5
42,0:03:30,eurnig1,0.12637852132320404,1
42,0:03:30,blawoo1,0.06462933123111725,2
42,0:03:30,loeowl,0.05647451803088188,3
42,0:03:30,bkbwoo,0.032413680106401443,4
42,0:03:30,grhowl2,0.021677803248167038,5
43,0:03:35,loeowl,0.08783261477947235,1
43,0:03:35,eurnig1,0.06694702059030533,2
43,0:03:35,eueowl1,0.05041778087615967,3
43,0:03:35,commoo3,0.046478576958179474,4
43,0:03:35,tawowl1,0.027602488175034523,5
44,0:03:40,eurnig1,0.12125063687562943,1
44,0:03:40,eubeat1,0.07380199432373047,2
44,0:03:40,comqua1,0.05108082294464111,3
44,0:03:40,whimbr,0.04794902727007866,4
44,0:03:40,astfly,0.038564085960388184,5
45,0:03:45,blawoo1,0.1262369453907013,1
45,0:03:45,loeowl,0.10787383466959,2
45,0:03:45,eurnig1,0.06871794164180756,3
45,0:03:45,eueowl1,0.043361399322748184,4
45,0:03:45,tawowl1,0.03468087688088417,5
46,0:03:50,blawoo1,0.5109128355979919,1
46,0:03:50,loeowl,0.029314838349819183,2
46,0:03:50,eurnig1,0.01942930370569229,3
46,0:03:50,tawowl1,0.011272764764726162,4
46,0:03:50,watrai1,0.011221657507121563,5
47,0:03:55,blawoo1,0.7599374055862427,1
47,0:03:55,grswoo,0.040411580353975296,2
47,0:03:55,loeowl,0.025716686621308327,3
47,0:03:55,ettwoo1,0.016463540494441986,4
47,0:03:55,eurnig1,0.01166307833045721,5
48,0:04:00,eurnig1,0.058149561285972595,1
48,0:04:00,wesowl1,0.03285538777709007,2
48,0:04:00,loeowl,0.030380738899111748,3
48,0:04:00,eueowl1,0.028286106884479523,4
48,0:04:00,tawowl1,0.027582863345742226,5
49,0:04:05,eurnig1,0.0878644734621048,1
49,0:04:05,sibjay1,0.026714198291301727,2
49,0:04:05,whtspa,0.025834422558546066,3
49,0:04:05,blawoo1,0.02485564723610878,4
49,0:04:05,loeowl,0.022545162588357925,5
50,0:04:10,blawoo1,0.2304689735174179,1
50,0:04:10,loeowl,0.053360506892204285,2
50,0:04:10,eurnig1,0.03305879235267639,3
50,0:04:10,watrai1,0.030220581218600273,4
50,0:04:10,eurcoo,0.022380700334906578,5
51,0:04:15,loeowl,0.07376203685998917,1
51,0:04:15,blawoo1,0.07006773352622986,2
51,0:04:15,eurnig1,0.05955441668629646,3
51,0:04:15,sibjay1,0.04105575382709503,4
51,0:04:15,hazgro1,0.029072292149066925,5
52,0:04:20,commoo3,0.0500638522207737,1
52,0:04:20,loeowl,0.03866344317793846,2
52,0:04:20,eurnig1,0.03763684257864952,3
52,0:04:20,blawoo1,0.03311733528971672,4
52,0:04:20,hazgro1,0.0317339152097702,5
53,0:04:25,eurnig1,0.049331169575452805,1
53,0:04:25,blawoo1,0.030002223327755928,2
53,0:04:25,commoo3,0.029929984360933304,3
53,0:04:25,comqua1,0.025779498741030693,4
53,0:04:25,hazgro1,0.02467549592256546,5
54,0:04:30,blawoo1,0.18878132104873657,1
54,0:04:30,eurnig1,0.07793719321489334,2
54,0:04:30,sibjay1,0.03637869656085968,3
54,0:04:30,loeowl,0.031810514628887177,4
54,0:04:30,commoo3,0.024918802082538605,5
55,0:04:35,commoo3,0.1848147064447403,1
55,0:04:35,eurnig1,0.07102060317993164,2
55,0:04:35,blawoo1,0.0656745508313179,3
55,0:04:35,comqua1,0.021372096613049507,4
55,0:04:35,loeowl,0.019100449979305267,5
56,0:04:40,blawoo1,0.1460309475660324,1
56,0:04:40,loeowl,0.04887942969799042,2
56,0:04:40,fiediu1,0.027389153838157654,3
56,0:04:40,tawant1,0.01789172738790512,4
56,0:04:40,sibjay1,0.016797855496406555,5
57,0:04:45,blawoo1,0.2105650007724762,1
57,0:04:45,loeowl,0.05919273570179939,2
57,0:04:45,eurnig1,0.04131223261356354,3
57,0:04:45,sibjay1,0.032595716416835785,4
57,0:04:45,hazgro1,0.025434181094169617,5
58,0:04:50,commoo3,0.2067124992609024,1
58,0:04:50,blawoo1,0.06542298197746277,2
58,0:04:50,whbwoo1,0.019571425393223763,3
58,0:04:50,eurnig1,0.01955978199839592,4
58,0:04:50,watrai1,0.01680913195014,5
59,0:04:55,blawoo1,0.06695188581943512,1
59,0:04:55,eurnig1,0.0589129701256752,2
59,0:04:55,loeowl,0.042170390486717224,3
59,0:04:55,sibjay1,0.029383843764662743,4
59,0:04:55,comrav,0.020291810855269432,5
60,0:05:00,commoo3,0.059567175805568695,1
60,0:05:00,eurnig1,0.04429996758699417,2
60,0:05:00,comqua1,0.03429584950208664,3
60,0:05:00,blawoo1,0.03086555376648903,4
60,0:05:00,eurcoo,0.015343734994530678,5
