frame,time,class,probability,probability_rank
0,0:00:00,comrav,0.23686304688453674,1
0,0:00:00,loeowl,0.08766746520996094,2
0,0:00:00,commoo3,0.0318741612136364,3
0,0:00:00,jacsni,0.03013693355023861,4
0,0:00:00,sheowl,0.026502292603254318,5
1,0:00:05,blawoo1,0.37128326296806335,1
1,0:00:05,grswoo,0.1410016417503357,2
1,0:00:05,loeowl,0.03813599422574043,3
1,0:00:05,ettwoo1,0.025574756786227226,4
1,0:00:05,tawowl1,0.023754015564918518,5
2,0:00:10,comrav,0.17446640133857727,1
2,0:00:10,blawoo1,0.07484480738639832,2
2,0:00:10,grswoo,0.05052778497338295,3
2,0:00:10,eurrob1,0.03495468571782112,4
2,0:00:10,ettwoo1,0.03256607800722122,5
3,0:00:15,blawoo1,0.12881073355674744,1
3,0:00:15,eurcoo,0.054531123489141464,2
3,0:00:15,loeowl,0.05226532369852066,3
3,0:00:15,commoo3,0.04888610541820526,4
3,0:00:15,grswoo,0.032980866730213165,5
4,0:00:20,tawowl1,0.05884465575218201,1
4,0:00:20,eurcoo,0.05766622722148895,2
4,0:00:20,loeowl,0.04546463117003441,3
4,0:00:20,watrai1,0.027505168691277504,4
4,0:00:20,commoo3,0.02588435262441635,5
5,0:00:25,loeowl,0.09852144867181778,1
5,0:00:25,tawowl1,0.04697386547923088,2
5,0:00:25,blagro1,0.04025842621922493,3
5,0:00:25,comrav,0.03259607404470444,4
5,0:00:25,eueowl1,0.028531692922115326,5
6,0:00:30,loeowl,0.059270862489938736,1
6,0:00:30,eurcoo,0.044309187680482864,2
6,0:00:30,tawowl1,0.04131915047764778,3
6,0:00:30,commoo3,0.035622816532850266,4
6,0:00:30,norsho,0.030146095901727676,5
7,0:00:35,commoo3,0.07070274651050568,1
7,0:00:35,eurcoo,0.049582935869693756,2
7,0:00:35,tawowl1,0.033387165516614914,3
7,0:00:35,norsho,0.03287431225180626,4
7,0:00:35,loeowl,0.03134758770465851,5
8,0:00:40,comchi1,0.06088113412261009,1
8,0:00:40,blawoo1,0.05815433710813522,2
8,0:00:40,ettwoo1,0.040836676955223083,3
8,0:00:40,grswoo,0.036980874836444855,4
8,0:00:40,norsho,0.03497987240552902,5
9,0:00:45,blawoo1,0.19702249765396118,1
9,0:00:45,comrav,0.025096062570810318,2
9,0:00:45,sibjay1,0.024347668513655663,3
9,0:00:45,loeowl,0.023578796535730362,4
9,0:00:45,eurcoo,0.02133267931640148,5
10,0:00:50,comchi1,0.5727953910827637,1
10,0:00:50,eursis,0.04771524295210838,2
10,0:00:50,redcro,0.03245166316628456,3
10,0:00:50,eurrob1,0.02981366030871868,4
10,0:00:50,hawfin,0.012827915139496326,5
11,0:00:55,loeowl,0.060754913836717606,1
11,0:00:55,eurnig1,0.049990035593509674,2
11,0:00:55,commoo3,0.041529860347509384,3
11,0:00:55,eurcoo,0.035488616675138474,4
11,0:00:55,blawoo1,0.03244073688983917,5
12,0:01:00,loeowl,0.11824711412191391,1
12,0:01:00,eueowl1,0.033705294132232666,2
12,0:01:00,tawowl1,0.03332943469285965,3
12,0:01:00,commoo3,0.028864460065960884,4
12,0:01:00,eurcoo,0.019895313307642937,5
13,0:01:05,loeowl,0.09649044275283813,1
13,0:01:05,blawoo1,0.053692422807216644,2
13,0:01:05,tawowl1,0.03836841881275177,3
13,0:01:05,grswoo,0.029750624671578407,4
13,0:01:05,eueowl1,0.028983665630221367,5
14,0:01:10,comchi1,0.4583451449871063,1
14,0:01:10,eurcoo,0.06099255010485649,2
14,0:01:10,commoo3,0.04536088556051254,3
14,0:01:10,eursis,0.01759716309607029,4
14,0:01:10,rinphe,0.016774987801909447,5
15,0:01:15,eursis,0.6782088875770569,1
15,0:01:15,comchi1,0.11854416131973267,2
15,0:01:15,blawoo1,0.015498705208301544,3
15,0:01:15,ettwoo1,0.009012328460812569,4
15,0:01:15,grswoo,0.007257525343447924,5
16,0:01:20,eursis,0.6885213851928711,1
16,0:01:20,comchi1,0.06142207235097885,2
16,0:01:20,blawoo1,0.018359167501330376,3
16,0:01:20,gretit1,0.01054480392485857,4
16,0:01:20,coatit2,0.010307584889233112,5
17,0:01:25,comchi1,0.5559521317481995,1
17,0:01:25,pinbun,0.04176607355475426,2
17,0:01:25,ortbun1,0.03153741732239723,3
17,0:01:25,eurcoo,0.030580269172787666,4
17,0:01:25,eursis,0.018635880202054977,5
18,0:01:30,blawoo1,0.10957110673189163,1
18,0:01:30,loeowl,0.05859861895442009,2
18,0:01:30,commoo3,0.05607301741838455,3
18,0:01:30,watrai1,0.05000144615769386,4
18,0:01:30,eurnig1,0.049247995018959045,5
19,0:01:35,eurnig1,0.049980293959379196,1
19,0:01:35,loeowl,0.04983724281191826,2
19,0:01:35,tawowl1,0.03681689500808716,3
19,0:01:35,eurcoo,0.025356309488415718,4
19,0:01:35,eueowl1,0.019965117797255516,5
20,0:01:40,loeowl,0.07616253942251205,1
20,0:01:40,blawoo1,0.07179092615842819,2
20,0:01:40,eurnig1,0.053501635789871216,3
20,0:01:40,eurcoo,0.046614084392786026,4
20,0:01:40,tawowl1,0.03985181450843811,5
21,0:01:45,tawowl1,0.04967121779918671,1
21,0:01:45,loeowl,0.04787440970540047,2
21,0:01:45,duswar,0.031257808208465576,3
21,0:01:45,yellow2,0.02704508975148201,4
21,0:01:45,eurnig1,0.026858581230044365,5
22,0:01:50,loeowl,0.10915456712245941,1
22,0:01:50,tawowl1,0.06339471787214279,2
22,0:01:50,eurcoo,0.0616769939661026,3
22,0:01:50,eurnig1,0.03414398431777954,4
22,0:01:50,commoo3,0.030305536463856697,5
23,0:01:55,loeowl,0.0754268541932106,1
23,0:01:55,tawowl1,0.07358010858297348,2
23,0:01:55,commoo3,0.07028516381978989,3
23,0:01:55,eueowl1,0.045008257031440735,4
23,0:01:55,eurcoo,0.028932563960552216,5
24,0:02:00,eurnig1,0.05368565768003464,1
24,0:02:00,loeowl,0.049045294523239136,2
24,0:02:00,eurcoo,0.033738020807504654,3
24,0:02:00,watrai1,0.03329555690288544,4
24,0:02:00,tawowl1,0.03228598088026047,5
25,0:02:05,loeowl,0.05102107301354408,1
25,0:02:05,tawowl1,0.04447772726416588,2
25,0:02:05,commoo3,0.03660333529114723,3
25,0:02:05,eurcoo,0.03219031170010567,4
25,0:02:05,eurnig1,0.026113716885447502,5
26,0:02:10,eurnig1,0.04472411423921585,1
26,0:02:10,tawowl1,0.04078589007258415,2
26,0:02:10,eueowl1,0.03910957649350166,3
26,0:02:10,loeowl,0.03334261104464531,4
26,0:02:10,watrai1,0.02463400550186634,5
27,0:02:15,comcha,0.6890438795089722,1
27,0:02:15,loeowl,0.025573881343007088,2
27,0:02:15,gretit1,0.009118011221289635,3
27,0:02:15,lottit1,0.008223716169595718,4
27,0:02:15,leswhi1,0.006791639141738415,5
28,0:02:20,loeowl,0.07531807571649551,1
28,0:02:20,tawowl1,0.05217079445719719,2
28,0:02:20,eurcoo,0.0476946197450161,3
28,0:02:20,watrai1,0.03876039385795593,4
28,0:02:20,eueowl1,0.033656101673841476,5
29,0:02:25,comcha,0.6406065821647644,1
29,0:02:25,grswoo,0.025065163150429726,2
29,0:02:25,blawoo1,0.02391956001520157,3
29,0:02:25,loeowl,0.015741534531116486,4
29,0:02:25,gretit1,0.011325848288834095,5
30,0:02:30,loeowl,0.08207159489393234,1
30,0:02:30,tawowl1,0.062342602759599686,2
30,0:02:30,eurcoo,0.0510014183819294,3
30,0:02:30,eueowl1,0.042172979563474655,4
30,0:02:30,commoo3,0.03430553898215294,5
31,0:02:35,comcha,0.11015743017196655,1
31,0:02:35,comchi1,0.06951634585857391,2
31,0:02:35,eurrob1,0.0328853465616703,3
31,0:02:35,ortbun1,0.02544836886227131,4
31,0:02:35,redcro,0.017628852277994156,5
32,0:02:40,loeowl,0.09425361454486847,1
32,0:02:40,tawowl1,0.04998476803302765,2
32,0:02:40,eueowl1,0.03989136964082718,3
32,0:02:40,eurnig1,0.0315687358379364,4
32,0:02:40,eurcoo,0.02921569161117077,5
33,0:02:45,loeowl,0.0849444642663002,1
33,0:02:45,eurnig1,0.07964295893907547,2
33,0:02:45,tawowl1,0.057613592594861984,3
33,0:02:45,eurcoo,0.04988390579819679,4
33,0:02:45,eueowl1,0.04014941304922104,5
34,0:02:50,commoo3,0.10670748353004456,1
34,0:02:50,tawowl1,0.07174913585186005,2
34,0:02:50,loeowl,0.06088244542479515,3
34,0:02:50,eurcoo,0.06059720739722252,4
34,0:02:50,eueowl1,0.03913823887705803,5
35,0:02:55,loeowl,0.1185680478811264,1
35,0:02:55,tawowl1,0.11524149030447006,2
35,0:02:55,eurnig1,0.072557732462883,3
35,0:02:55,eueowl1,0.045275673270225525,4
35,0:02:55,commoo3,0.0371694378554821,5
36,0:03:00,loeowl,0.050130683928728104,1
36,0:03:00,eueowl1,0.044003140181303024,2
36,0:03:00,tawowl1,0.04250853508710861,3
36,0:03:00,commoo3,0.02853379026055336,4
36,0:03:00,eurcoo,0.02462816797196865,5
37,0:03:05,loeowl,0.10227414220571518,1
37,0:03:05,tawowl1,0.09601020812988281,2
37,0:03:05,eueowl1,0.052056990563869476,3
37,0:03:05,eurnig1,0.04795241728425026,4
37,0:03:05,commoo3,0.04000662639737129,5
38,0:03:10,commoo3,0.09676256030797958,1
38,0:03:10,loeowl,0.07763157784938812,2
38,0:03:10,eurcoo,0.07169529795646667,3
38,0:03:10,eurnig1,0.06671693176031113,4
38,0:03:10,tawowl1,0.05608326196670532,5
39,0:03:15,tawowl1,0.04987644404172897,1
39,0:03:15,manshe,0.04442211613059044,2
39,0:03:15,eueowl1,0.03753397613763809,3
39,0:03:15,spofly1,0.035885490477085114,4
39,0:03:15,winwre4,0.029992207884788513,5
40,0:03:20,eursis,0.5551263093948364,1
40,0:03:20,skylar,0.01406300999224186,2
40,0:03:20,comqua1,0.011868605390191078,3
