frame,time,class,probability
0,0:00:00,wesowl1,0.11596881598234177
1,0:00:05,tawowl1,0.08102257549762726
2,0:00:10,tawowl1,0.04900330677628517
3,0:00:15,tawowl1,0.04725641384720802
4,0:00:20,loeowl,0.06301174312829971
5,0:00:25,loeowl,0.13276691734790802
6,0:00:30,commoo3,0.05575534328818321
7,0:00:35,commoo3,0.054647043347358704
8,0:00:40,eueowl1,0.06207096576690674
9,0:00:45,tawowl1,0.05626610293984413
10,0:00:50,loeowl,0.05413537472486496
11,0:00:55,tawowl1,0.07534806430339813
12,0:01:00,tawowl1,0.07954580336809158
13,0:01:05,loeowl,0.5550861954689026
14,0:01:10,eueowl1,0.06934390217065811
15,0:01:15,brnowl,0.14649955928325653
16,0:01:20,eurnig1,0.06601084023714066
17,0:01:25,eurnig1,0.05487370491027832
18,0:01:30,commoo3,0.05703910440206528
19,0:01:35,eurnig1,0.0552583783864975
20,0:01:40,ortbun1,0.06120339781045914
21,0:01:45,commoo3,0.04832960665225983
22,0:01:50,tawowl1,0.05526624247431755
23,0:01:55,tawowl1,0.08443226665258408
24,0:02:00,eurcoo,0.044455140829086304
25,0:02:05,eueowl1,0.06328414380550385
26,0:02:10,commoo3,0.05738049000501633
27,0:02:15,tawowl1,0.06228242069482803
28,0:02:20,commoo3,0.08970274031162262
29,0:02:25,commoo3,0.07598837465047836
30,0:02:30,tawowl1,0.06529901921749115
31,0:02:35,tawowl1,0.07751043140888214
32,0:02:40,tawowl1,0.07596954703330994
33,0:02:45,eurnig1,0.07334000617265701
34,0:02:50,loeowl,0.08308719843626022
35,0:02:55,eueowl1,0.06133710592985153
36,0:03:00,eurnig1,0.0525231771171093
37,0:03:05,eurnig1,0.05007103085517883
38,0:03:10,eueowl1,0.03387720137834549
39,0:03:15,tawowl1,0.056858040392398834
40,0:03:20,commoo3,0.05290796235203743
41,0:03:25,tawowl1,0.03613283485174179
42,0:03:30,loeowl,0.05891367048025131
43,0:03:35,bargol,0.07606671005487442
44,0:03:40,tawowl1,0.09394102543592453
45,0:03:45,tawowl1,0.08483026921749115
46,0:03:50,loeowl,0.07803157716989517
47,0:03:55,loeowl,0.12768711149692535
48,0:04:00,loeowl,0.10728509724140167
49,0:04:05,tawowl1,0.08430445194244385
50,0:04:10,tawowl1,0.0690188854932785
51,0:04:15,loeowl,0.06632524728775024
52,0:04:20,commoo3,0.07157758623361588
53,0:04:25,tawowl1,0.066086545586586
54,0:04:30,eurnig1,0.06025774031877518
55,0:04:35,litbit1,0.2927533686161041
56,0:04:40,wesowl1,0.22305504977703094
57,0:04:45,eurnig1,0.10339370369911194
58,0:04:50,loeowl,0.07795032858848572
59,0:04:55,commoo3,0.15523146092891693
60,0:05:00,loeowl,0.0803801566362381
61,0:05:05,tawowl1,0.0795917958021164
62,0:05:10,tawowl1,0.08990368247032166
63,0:05:15,eurnig1,0.06206927448511124
64,0:05:20,ortbun1,0.07189641892910004
65,0:05:25,grebit1,0.11410029232501984
66,0:05:30,tawowl1,0.2245142161846161
67,0:05:35,tawowl1,0.04909992218017578
68,0:05:40,tawowl1,0.050901614129543304
69,0:05:45,tawowl1,0.048058513551950455
70,0:05:50,tawowl1,0.05156679078936577
71,0:05:55,eueowl1,0.07995805889368057
72,0:06:00,tawowl1,0.0965627059340477
73,0:06:05,tawowl1,0.07203999906778336
74,0:06:10,tawowl1,0.08445367217063904
75,0:06:15,wesowl1,0.10038506239652634
76,0:06:20,eueowl1,0.07846222072839737
77,0:06:25,eueowl1,0.056549638509750366
78,0:06:30,tawowl1,0.05472400784492493
79,0:06:35,commoo3,0.1127464547753334
80,0:06:40,eurcoo,0.06931013613939285
81,0:06:45,tawowl1,0.09719453006982803
82,0:06:50,eurnig1,0.10763299465179443
83,0:06:55,eurnig1,0.06795082986354828
84,0:07:00,tawowl1,0.06481430679559708
85,0:07:05,commoo3,0.05552571266889572
86,0:07:10,tawowl1,0.057647254317998886
87,0:07:15,loeowl,0.1451481282711029
88,0:07:20,eurcoo,0.08685612678527832
89,0:07:25,tawowl1,0.06218630447983742
90,0:07:30,commoo3,0.1348617970943451
91,0:07:35,eueowl1,0.07987561821937561
92,0:07:40,tawowl1,0.08156431466341019
93,0:07:45,eurnig1,0.16675499081611633
94,0:07:50,eurnig1,0.07102993130683899
95,0:07:55,brnowl,0.07496993988752365
96,0:08:00,eueowl1,0.04022546485066414
97,0:08:05,tawowl1,0.045069675892591476
98,0:08:10,ortbun1,0.06468617171049118
99,0:08:15,tawowl1,0.05312316119670868
100,0:08:20,tawowl1,0.06217806413769722
101,0:08:25,eueowl1,0.057817187160253525
102,0:08:30,eueowl1,0.07321879267692566
103,0:08:35,eurnig1,0.049497783184051514
104,0:08:40,eurnig1,0.06585336476564407
105,0:08:45,eueowl1,0.05508562549948692
106,0:08:50,tawowl1,0.05759487673640251
107,0:08:55,tawowl1,0.0653601884841919
108,0:09:00,ortbun1,0.049669280648231506
109,0:09:05,tawowl1,0.07595926523208618
110,0:09:10,tawowl1,0.06880072504281998
111,0:09:15,eueowl1,0.05215327814221382
112,0:09:20,commoo3,0.06000228971242905
113,0:09:25,tawowl1,0.07617691159248352
114,0:09:30,eueowl1,0.055252209305763245
115,0:09:35,comrav,0.05591411516070366
116,0:09:40,tawowl1,0.04591650888323784
117,0:09:45,brnowl,0.061955321580171585
118,0:09:50,tawowl1,0.06911074370145798
119,0:09:55,eueowl1,0.05470665544271469
120,0:10:00,commoo3,0.048563919961452484
121,0:10:05,tawowl1,0.06992512941360474
122,0:10:10,watrai1,0.060965023934841156
123,0:10:15,brnowl,0.07226927578449249
124,0:10:20,brnowl,0.0948735773563385
125,0:10:25,tawowl1,0.09076438099145889
126,0:10:30,tawowl1,0.05950690805912018
127,0:10:35,eueowl1,0.050299834460020065
128,0:10:40,wesowl1,0.06423471868038177
129,0:10:45,loeowl,0.09582667052745819
130,0:10:50,tawowl1,0.024182433262467384
131,0:10:55,wesowl1,0.08209619671106339
