frame,time,class,probability
0,0:00:00,eurcoo,0.133353590965271
1,0:00:05,eurcoo,0.08230564743280411
2,0:00:10,tawowl1,0.12283387035131454
3,0:00:15,eurcoo,0.12214195728302002
4,0:00:20,eurcoo,0.09893999993801117
5,0:00:25,tawowl1,0.11544835567474365
6,0:00:30,eurcoo,0.07810567319393158
7,0:00:35,eurcoo,0.15384142100811005
8,0:00:40,eurcoo,0.10506386309862137
9,0:00:45,blksco1,0.09461881965398788
10,0:00:50,commoo3,0.10984905064105988
11,0:00:55,tawowl1,0.11665639281272888
12,0:01:00,tawowl1,0.11786679178476334
13,0:01:05,tawowl1,0.12614037096500397
14,0:01:10,commoo3,0.07983794808387756
15,0:01:15,commoo3,0.0986759290099144
16,0:01:20,commoo3,0.07240763306617737
17,0:01:25,commoo3,0.07096873968839645
18,0:01:30,commoo3,0.09913813322782516
19,0:01:35,commoo3,0.08565113693475723
20,0:01:40,commoo3,0.11318979412317276
21,0:01:45,tawowl1,0.08022342622280121
22,0:01:50,tawowl1,0.07960350811481476
23,0:01:55,eurcoo,0.09934598207473755
24,0:02:00,commoo3,0.09488517791032791
25,0:02:05,tawowl1,0.10167687386274338
26,0:02:10,commoo3,0.0929502472281456
27,0:02:15,commoo3,0.0809565931558609
28,0:02:20,commoo3,0.08226686716079712
29,0:02:25,tawowl1,0.10369855910539627
30,0:02:30,eurcoo,0.11001882702112198
31,0:02:35,tawowl1,0.11074104905128479
32,0:02:40,eurcoo,0.07258450984954834
33,0:02:45,eurcoo,0.08475901931524277
34,0:02:50,tawowl1,0.09475312381982803
35,0:02:55,tawowl1,0.12082623690366745
36,0:03:00,tawowl1,0.08096843212842941
37,0:03:05,eurcoo,0.10122470557689667
38,0:03:10,tawowl1,0.10173056274652481
39,0:03:15,eurcoo,0.08133552223443985
40,0:03:20,eurcoo,0.11105398833751678
41,0:03:25,tawowl1,0.09997063875198364
42,0:03:30,tawowl1,0.07322020083665848
43,0:03:35,tawowl1,0.09505908191204071
44,0:03:40,eurcoo,0.107502780854702
45,0:03:45,tawowl1,0.08821184188127518
46,0:03:50,tawowl1,0.10028187185525894
47,0:03:55,tawowl1,0.25300097465515137
48,0:04:00,eurcoo,0.09427343308925629
49,0:04:05,eurcoo,0.07822177559137344
50,0:04:10,eurcoo,0.11890454590320587
51,0:04:15,eurcoo,0.0974683091044426
52,0:04:20,eurcoo,0.07805049419403076
53,0:04:25,eurcoo,0.0973300039768219
54,0:04:30,eurcoo,0.09130031615495682
55,0:04:35,tawowl1,0.07879502326250076
56,0:04:40,eurcoo,0.09293663501739502
57,0:04:45,tawowl1,0.09896892309188843
58,0:04:50,eurcoo,0.0871981754899025
59,0:04:55,tawowl1,0.11108472943305969
60,0:05:00,eurcoo,0.0879230871796608
61,0:05:05,commoo3,0.11842367053031921
62,0:05:10,eurcoo,0.0866103321313858
63,0:05:15,tawowl1,0.09092644602060318
