frame,time,class,probability
0,0:00:00,loeowl,0.02224745601415634
1,0:00:05,fiediu1,0.11850879341363907
2,0:00:10,blawoo1,0.13652582466602325
3,0:00:15,blawoo1,0.07958772033452988
4,0:00:20,blawoo1,0.017194731160998344
5,0:00:25,blawoo1,0.07125035673379898
6,0:00:30,comeid,0.02849174477159977
7,0:00:35,blawoo1,0.12599918246269226
8,0:00:40,blawoo1,0.04236268252134323
9,0:00:45,eurcoo,0.01742643676698208
10,0:00:50,eurcoo,0.03399481251835823
11,0:00:55,loeowl,0.0373588427901268
12,0:01:00,comcra,0.07854130119085312
13,0:01:05,blawoo1,0.06387675553560257
14,0:01:10,blawoo1,0.26237916946411133
15,0:01:15,mutswa,0.028165854513645172
16,0:01:20,fiediu1,0.11145106703042984
17,0:01:25,fiediu1,0.5483322739601135
18,0:01:30,comeid,0.02732284925878048
19,0:01:35,mutswa,0.07431265711784363
20,0:01:40,commoo3,0.042746879160404205
21,0:01:45,eurcoo,0.0811946913599968
22,0:01:50,whtspa,0.01949208602309227
23,0:01:55,mutswa,0.03273257240653038
24,0:02:00,comeid,0.019911613315343857
25,0:02:05,blawoo1,0.06692574918270111
26,0:02:10,mutswa,0.0809602439403534
27,0:02:15,tawant1,0.03123367391526699
28,0:02:20,fiediu1,0.2548653483390808
29,0:02:25,mutswa,0.07145506143569946
30,0:02:30,tawant1,0.06636703759431839
31,0:02:35,fiediu1,0.18430110812187195
32,0:02:40,tawant1,0.044299446046352386
33,0:02:45,fiediu1,0.10109149664640427
34,0:02:50,whtspa,0.0466485433280468
35,0:02:55,mutswa,0.05827031657099724
36,0:03:00,rocpta1,0.028562083840370178
37,0:03:05,whtspa,0.052727110683918
38,0:03:10,whtspa,0.11387157440185547
39,0:03:15,whtspa,0.043274108320474625
40,0:03:20,whtspa,0.0196206234395504
41,0:03:25,blawoo1,0.044979508966207504
42,0:03:30,trepip,0.023673970252275467
43,0:03:35,fiediu1,0.1623397022485733
44,0:03:40,whtspa,0.14737817645072937
45,0:03:45,orihob2,0.02679445967078209
46,0:03:50,loeowl,0.04302503168582916
47,0:03:55,commoo3,0.0768604502081871
48,0:04:00,tawant1,0.13316985964775085
49,0:04:05,blawoo1,0.032474201172590256
50,0:04:10,ibesee1,0.036197733134031296
51,0:04:15,fiediu1,0.12023117393255234
52,0:04:20,tawant1,0.030572757124900818
53,0:04:25,fiediu1,0.0495632104575634
54,0:04:30,blawoo1,0.05046362057328224
55,0:04:35,eugplo,0.05147004500031471
56,0:04:40,fiediu1,0.48099517822265625
57,0:04:45,osprey,0.0857422798871994
58,0:04:50,fiediu1,0.10425996780395508
59,0:04:55,blawoo1,0.11818857491016388
60,0:05:00,mutswa,0.03642616048455238
61,0:05:05,whtspa,0.045216154307127
62,0:05:10,blawoo1,0.03496871516108513
63,0:05:15,tawant1,0.07929199934005737
64,0:05:20,blawoo1,0.1019248366355896
65,0:05:25,whtspa,0.0269880723208189
66,0:05:30,blawoo1,0.017926661297678947
67,0:05:35,fiediu1,0.04921480640769005
68,0:05:40,yetpip1,0.02945714257657528
69,0:05:45,blawoo1,0.0512322299182415
70,0:05:50,whtspa,0.05158837512135506
71,0:05:55,whtspa,0.07368363440036774
