frame,time,class,probability
0,0:00:00,tawowl1,0.06968165934085846
1,0:00:05,tawowl1,0.07098855078220367
2,0:00:10,loeowl,0.10245098173618317
3,0:00:15,loeowl,0.052160345017910004
4,0:00:20,loeowl,0.09501025825738907
5,0:00:25,blawoo1,0.2988622486591339
6,0:00:30,loeowl,0.06668133288621902
7,0:00:35,blawoo1,0.1874341368675232
8,0:00:40,blawoo1,0.30331480503082275
9,0:00:45,blawoo1,0.07526996731758118
10,0:00:50,tawowl1,0.1238153949379921
11,0:00:55,whtspa,0.06447334587574005
12,0:01:00,blawoo1,0.09354998916387558
13,0:01:05,tawowl1,0.09278789907693863
14,0:01:10,loeowl,0.10423751175403595
15,0:01:15,tawowl1,0.06836557388305664
16,0:01:20,tawowl1,0.039426181465387344
17,0:01:25,tawowl1,0.1274448186159134
18,0:01:30,tawowl1,0.08325786143541336
19,0:01:35,tawowl1,0.08078107237815857
20,0:01:40,blawoo1,0.09845362603664398
21,0:01:45,tawowl1,0.048394184559583664
22,0:01:50,tawowl1,0.0855751484632492
23,0:01:55,whtspa,0.04736708849668503
24,0:02:00,duswar,0.3683103919029236
25,0:02:05,tawowl1,0.08591806143522263
26,0:02:10,loeowl,0.09415967762470245
27,0:02:15,tawowl1,0.09708831459283829
28,0:02:20,tawowl1,0.04009102284908295
29,0:02:25,tawowl1,0.0954318568110466
30,0:02:30,loeowl,0.3639052212238312
31,0:02:35,loeowl,0.1981160193681717
32,0:02:40,tawowl1,0.16062591969966888
33,0:02:45,tawowl1,0.25647324323654175
34,0:02:50,tawowl1,0.1459098905324936
35,0:02:55,tawowl1,0.10459819436073303
36,0:03:00,tawowl1,0.05407905578613281
37,0:03:05,tawowl1,0.47930121421813965
38,0:03:10,eueowl1,0.04076192155480385
39,0:03:15,comrav,0.09400802105665207
40,0:03:20,loeowl,0.09818518161773682
41,0:03:25,loeowl,0.12379221618175507
42,0:03:30,tawowl1,0.10126715153455734
43,0:03:35,tawowl1,0.06517937034368515
44,0:03:40,tawowl1,0.11821407824754715
45,0:03:45,tawowl1,0.05184166133403778
46,0:03:50,tawowl1,0.11890269815921783
47,0:03:55,tawowl1,0.05370062589645386
48,0:04:00,tawowl1,0.0719030499458313
49,0:04:05,loeowl,0.0929144099354744
50,0:04:10,loeowl,0.04466214030981064
51,0:04:15,tawowl1,0.10669878125190735
