frame,time,class,probability
0,0:00:00,whtspa,0.027007408440113068
1,0:00:05,eurcoo,0.031812604516744614
2,0:00:10,fiediu1,0.16185978055000305
3,0:00:15,blawoo1,0.0644637793302536
4,0:00:20,tawant1,0.15285734832286835
5,0:00:25,hazgro1,0.038713544607162476
6,0:00:30,blawoo1,0.1189395859837532
7,0:00:35,ibesee1,0.04444918781518936
8,0:00:40,whtspa,0.02130420319736004
9,0:00:45,blawoo1,0.041299156844615936
10,0:00:50,whtspa,0.03554713726043701
11,0:00:55,comrav,0.02901763655245304
12,0:01:00,whtspa,0.025836728513240814
13,0:01:05,blawoo1,0.029734008014202118
14,0:01:10,comeid,0.02867833897471428
15,0:01:15,mutswa,0.039170652627944946
16,0:01:20,fiediu1,0.0869627520442009
17,0:01:25,whtspa,0.0603242963552475
18,0:01:30,blawoo1,0.09342075884342194
19,0:01:35,silgre1,0.03183458372950554
20,0:01:40,blawoo1,0.033392827957868576
21,0:01:45,blawoo1,0.1912778615951538
22,0:01:50,blawoo1,0.14783664047718048
23,0:01:55,sibjay1,0.032264381647109985
24,0:02:00,blawoo1,0.1852671205997467
25,0:02:05,tawant1,0.03773687407374382
26,0:02:10,blawoo1,0.17778851091861725
27,0:02:15,blawoo1,0.0574631541967392
28,0:02:20,whtspa,0.1103203073143959
29,0:02:25,eurwoo,0.07017084211111069
30,0:02:30,blawoo1,0.03934244066476822
31,0:02:35,blawoo1,0.05890911445021629
32,0:02:40,blawoo1,0.10228201746940613
33,0:02:45,blawoo1,0.028568128123879433
34,0:02:50,redcro,0.20552076399326324
35,0:02:55,blawoo1,0.03857363015413284
36,0:03:00,blawoo1,0.14139416813850403
37,0:03:05,blawoo1,0.03556017950177193
38,0:03:10,blawoo1,0.07093245536088943
39,0:03:15,blawoo1,0.09745053201913834
40,0:03:20,sibjay1,0.0287203136831522
41,0:03:25,whtspa,0.045920949429273605
42,0:03:30,eugplo,0.0620994046330452
43,0:03:35,fiediu1,0.06881769746541977
44,0:03:40,fiediu1,0.3786092698574066
45,0:03:45,blawoo1,0.19812682271003723
46,0:03:50,blawoo1,0.04127461835741997
47,0:03:55,blawoo1,0.059314388781785965
48,0:04:00,blawoo1,0.03456427529454231
49,0:04:05,loeowl,0.0438847541809082
50,0:04:10,blawoo1,0.08528120070695877
51,0:04:15,comrav,0.06605719029903412
52,0:04:20,blawoo1,0.06495319306850433
53,0:04:25,whtspa,0.029973715543746948
54,0:04:30,blawoo1,0.2058526575565338
55,0:04:35,whtspa,0.12119188904762268
56,0:04:40,blawoo1,0.05746091529726982
57,0:04:45,tawowl1,0.06664729118347168
58,0:04:50,blawoo1,0.1699426919221878
59,0:04:55,blawoo1,0.12138412147760391
60,0:05:00,sibjay1,0.02951033227145672
61,0:05:05,blawoo1,0.062305230647325516
62,0:05:10,blawoo1,0.07193756848573685
63,0:05:15,loeowl,0.03615771234035492
64,0:05:20,blawoo1,0.042617347091436386
65,0:05:25,blawoo1,0.34141868352890015
66,0:05:30,blawoo1,0.08264715224504471
67,0:05:35,blawoo1,0.052180930972099304
68,0:05:40,blawoo1,0.09503678232431412
69,0:05:45,blawoo1,0.0460742823779583
70,0:05:50,eurnig1,0.06754707545042038
71,0:05:55,hazgro1,0.036413468420505524
72,0:06:00,blawoo1,0.13492274284362793
73,0:06:05,loeowl,0.06566265225410461
74,0:06:10,comrav,0.07857515662908554
75,0:06:15,blawoo1,0.029572496190667152
76,0:06:20,blawoo1,0.12488548457622528
77,0:06:25,eurnig1,0.03620845824480057
78,0:06:30,blawoo1,0.24995411932468414
79,0:06:35,blawoo1,0.0530870147049427
80,0:06:40,blawoo1,0.04245875030755997
81,0:06:45,blawoo1,0.13448584079742432
82,0:06:50,blawoo1,0.04506625607609749
83,0:06:55,blawoo1,0.1767195165157318
84,0:07:00,blawoo1,0.11570785194635391
85,0:07:05,blawoo1,0.2721993029117584
86,0:07:10,blawoo1,0.23119091987609863
87,0:07:15,blawoo1,0.31735679507255554
88,0:07:20,whtspa,0.027757054194808006
89,0:07:25,blawoo1,0.1325201839208603
90,0:07:30,whtspa,0.06339950114488602
91,0:07:35,comeid,0.06610270589590073
92,0:07:40,jacsni,0.02572518214583397
93,0:07:45,blawoo1,0.08307578414678574
94,0:07:50,loeowl,0.05123678594827652
95,0:07:55,rubowl3,0.07153850793838501
96,0:08:00,loeowl,0.03311311826109886
97,0:08:05,blawoo1,0.0993763878941536
98,0:08:10,commoo3,0.03803132474422455
99,0:08:15,blawoo1,0.06721872091293335
100,0:08:20,blawoo1,0.22378100454807281
101,0:08:25,blawoo1,0.06949584931135178
102,0:08:30,comeid,0.07697170227766037
103,0:08:35,loeowl,0.03843138739466667
104,0:08:40,rocpta1,0.0775221735239029
105,0:08:45,blawoo1,0.05117473751306534
106,0:08:50,blawoo1,0.032010216265916824
107,0:08:55,riflem1,0.02559625543653965
108,0:09:00,sibjay1,0.07996007800102234
109,0:09:05,fiediu1,0.26121199131011963
110,0:09:10,blawoo1,0.14875736832618713
111,0:09:15,litbun,0.07993007451295853
112,0:09:20,blawoo1,0.0490160807967186
113,0:09:25,comrav,0.030075039714574814
114,0:09:30,blawoo1,0.0718279778957367
115,0:09:35,whtspa,0.03919469565153122
