taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2480311	Charadrius alexandrinus Linnaeus, 1758	2480311	Charadrius alexandrinus Linnaeus, 1758	184	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius alexandrinus	2480311	LC
2494200	Serinus serinus (Linnaeus, 1766)	2494200	Serinus serinus (Linnaeus, 1766)	122	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Serinus	8215044	Serinus serinus	2494200	LC
2481139	Larus argentatus Pontoppidan, 1763	2481139	Larus argentatus Pontoppidan, 1763	17837	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus argentatus	2481139	LC
2498343	Cygnus olor (Gmelin, 1789)	2498343	Cygnus olor (Gmelin, 1789)	17557	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cygnus	2498334	Cygnus olor	2498343	LC
5229493	Garrulus glandarius (Linnaeus, 1758)	5229493	Garrulus glandarius (Linnaeus, 1758)	14129	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Garrulus	2482462	Garrulus glandarius	5229493	LC
5739361	Iduna pallida (Hemprich & Ehrenberg, 1833)	5739361	Iduna pallida (Hemprich & Ehrenberg, 1833)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Acrocephalidae	6101019	Iduna	3241698	Iduna pallida	5739361	LC
2484916	Sitta europaea Linnaeus, 1758	2484916	Sitta europaea Linnaeus, 1758	7334	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta europaea	2484916	LC
5229247	Sterna forsteri Nuttall, 1834	5229247	Sterna forsteri Nuttall, 1834	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Sterna	2481227	Sterna forsteri	5229247	LC
5231240	Oenanthe oenanthe (Linnaeus, 1758)	5231240	Oenanthe oenanthe (Linnaeus, 1758)	2531	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Oenanthe	2492483	Oenanthe oenanthe	5231240	LC
7982160	Larus canus Linnaeus, 1758	7982160	Larus canus Linnaeus, 1758	10052	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus canus	7982160	LC
9272513	Zapornia parva (Scopoli, 1769)	2474627	Porzana parva (Scopoli, 1769)	39	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Porzana	2474604	Porzana parva	2474627	LC
2481726	Tringa nebularia (Gunnerus, 1767)	2481726	Tringa nebularia (Gunnerus, 1767)	2561	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa nebularia	2481726	LC
2490604	Lullula arborea (Linnaeus, 1758)	2490604	Lullula arborea (Linnaeus, 1758)	1972	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Lullula	2490603	Lullula arborea	2490604	LC
2495681	Streptopelia orientalis (Latham, 1790)	2495681	Streptopelia orientalis (Latham, 1790)	36	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Streptopelia	2495657	Streptopelia orientalis	2495681	LC
5229126	Himantopus himantopus (Linnaeus, 1758)	5229126	Himantopus himantopus (Linnaeus, 1758)	679	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Recurvirostridae	4287244	Himantopus	2480217	Himantopus himantopus	5229126	LC
2480637	Accipiter nisus (Linnaeus, 1758)	2480637	Accipiter nisus (Linnaeus, 1758)	5077	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Accipiter	9405810	Accipiter nisus	2480637	LC
5229128	Himantopus mexicanus (Statius Muller, 1776)	5229128	Himantopus mexicanus (Statius Muller, 1776)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Recurvirostridae	4287244	Himantopus	2480217	Himantopus mexicanus	5229128	LC
2480487	Circus cyaneus (Linnaeus, 1766)	2480487	Circus cyaneus (Linnaeus, 1766)	1999	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Circus	2480481	Circus cyaneus	2480487	LC
8250742	Calidris pugnax (Linnaeus, 1758)	5229387	Philomachus pugnax (Linnaeus, 1758)	3132	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Philomachus	2481691	Philomachus pugnax	5229387	LC
9413670	Larus michahellis J.F.Naumann, 1840	9413670	Larus michahellis J.F.Naumann, 1840	472	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus michahellis	9413670	LC
2493090	Phylloscopus proregulus (Pallas, 1811)	2493090	Phylloscopus proregulus (Pallas, 1811)	52	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Phylloscopidae	6100963	Phylloscopus	2493047	Phylloscopus proregulus	2493090	LC
2482492	Corvus corax Linnaeus, 1758	2482492	Corvus corax Linnaeus, 1758	1281	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus corax	2482492	LC
2481221	Xema sabini (Sabine, 1819)	2481221	Xema sabini (Sabine, 1819)	32	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Xema	2481220	Xema sabini	2481221	LC
2490956	Monticola saxatilis (Linnaeus, 1766)	2490956	Monticola saxatilis (Linnaeus, 1766)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Monticola	8156917	Monticola saxatilis	2490956	LC
8077224	Alauda arvensis Linnaeus, 1758	8077224	Alauda arvensis Linnaeus, 1758	5925	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Alauda	2490696	Alauda arvensis	8077224	LC
9345027	Spatula cyanoptera (Vieillot, 1816)	2498139	Anas cyanoptera Vieillot, 1816	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas cyanoptera	2498139	LC
2482473	Corvus monedula Linnaeus, 1758	6100954	Coloeus monedula (Linnaeus, 1758)	25245	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Coloeus	4852454	Coloeus monedula	6100954	LC
2498246	Melanitta perspicillata (Linnaeus, 1758)	2498246	Melanitta perspicillata (Linnaeus, 1758)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Melanitta	2498237	Melanitta perspicillata	2498246	LC
2491582	Emberiza rustica Pallas, 1776	2491582	Emberiza rustica Pallas, 1776	14	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Emberiza	2491468	Emberiza rustica	2491582	VU
5229138	Vanellus gregarius (Pallas, 1771)	5229138	Vanellus gregarius (Pallas, 1771)	24	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Vanellus	3242344	Vanellus gregarius	5229138	CR
9409796	Corvus corone Linnaeus, 1758	9409796	Corvus corone Linnaeus, 1758	32158	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus corone	9409796	LC
2480910	Botaurus stellaris (Linnaeus, 1758)	2480910	Botaurus stellaris (Linnaeus, 1758)	800	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Botaurus	2480909	Botaurus stellaris	2480910	LC
2481156	Larus glaucoides B.Meyer, 1822	2481156	Larus glaucoides B.Meyer, 1822	114	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Larus	2481126	Larus glaucoides	2481156	LC
2481769	Calidris acuminata (Horsfield, 1821)	2481769	Calidris acuminata (Horsfield, 1821)	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris acuminata	2481769	VU
2490719	Turdus merula Linnaeus, 1758	2490719	Turdus merula Linnaeus, 1758	28783	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus merula	2490719	LC
9273219	Lanius schach Linnaeus, 1758	9273219	Lanius schach Linnaeus, 1758	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius schach	9273219	LC
2481685	Limosa limosa (Linnaeus, 1758)	2481685	Limosa limosa (Linnaeus, 1758)	6416	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Limosa	2481679	Limosa limosa	2481685	NT
2490774	Turdus viscivorus Linnaeus, 1758	2490774	Turdus viscivorus Linnaeus, 1758	2411	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Turdus	2490714	Turdus viscivorus	2490774	LC
9701857	Motacilla flava Linnaeus, 1758	9701857	Motacilla flava Linnaeus, 1758	4570	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Motacilla	2490295	Motacilla flava	9701857	LC
2490310	Motacilla cinerea Tunstall, 1771	2490310	Motacilla cinerea Tunstall, 1771	1601	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Motacilla	2490295	Motacilla cinerea	2490310	LC
2491521	Emberiza bruniceps von J.F.Brandt, 1841	2491521	Emberiza bruniceps von J.F.Brandt, 1841	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Emberiza	2491468	Emberiza bruniceps	2491521	LC
9508460	Mareca sibilatrix (Poeppig, 1829)	2498110	Anas sibilatrix Poeppig, 1829	7	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas sibilatrix	2498110	LC
2498390	Marmaronetta angustirostris (Ménétries, 1832)	2498390	Marmaronetta angustirostris (Ménétries, 1832)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Marmaronetta	2498389	Marmaronetta angustirostris	2498390	VU
7340170	Anser serrirostris Gould, 1852	7340170	Anser serrirostris Gould, 1852	1158	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anser	2498016	Anser serrirostris	7340170	NE
