frame,time,class,probability,probability_rank
0,0:00:00,tawowl1,0.11829786002635956,1
0,0:00:00,eurcoo,0.08342548459768295,2
0,0:00:00,grebit1,0.056711163371801376,3
0,0:00:00,eueowl1,0.05507175624370575,4
0,0:00:00,watrai1,0.04049307107925415,5
1,0:00:05,tawowl1,0.10284552723169327,1
1,0:00:05,eurcoo,0.0965251550078392,2
1,0:00:05,eueowl1,0.05181070417165756,3
1,0:00:05,watrai1,0.04472016543149948,4
1,0:00:05,loeowl,0.03816073015332222,5
2,0:00:10,eurcoo,0.08109819889068604,1
2,0:00:10,watrai1,0.062315065413713455,2
2,0:00:10,tawowl1,0.06044060364365578,3
2,0:00:10,eurrob1,0.045452266931533813,4
2,0:00:10,sonthr1,0.03757273778319359,5
3,0:00:15,loeowl,0.26021808385849,1
3,0:00:15,tawowl1,0.08984080702066422,2
3,0:00:15,eueowl1,0.08939003944396973,3
3,0:00:15,eurcoo,0.07693399488925934,4
3,0:00:15,watrai1,0.04725595563650131,5
4,0:00:20,tawowl1,0.12745551764965057,1
4,0:00:20,eurcoo,0.07949722558259964,2
4,0:00:20,commoo3,0.05252284184098244,3
4,0:00:20,loeowl,0.04865814372897148,4
4,0:00:20,watrai1,0.04356997460126877,5
5,0:00:25,eurcoo,0.11842610687017441,1
5,0:00:25,tawowl1,0.10106328874826431,2
5,0:00:25,commoo3,0.05585324391722679,3
5,0:00:25,eueowl1,0.040763646364212036,4
5,0:00:25,watrai1,0.03873799368739128,5
6,0:00:30,eurcoo,0.10960649698972702,1
6,0:00:30,tawowl1,0.09149473160505295,2
6,0:00:30,commoo3,0.07676109671592712,3
6,0:00:30,eueowl1,0.049440477043390274,4
6,0:00:30,watrai1,0.04064876586198807,5
7,0:00:35,tawowl1,0.08241136372089386,1
7,0:00:35,eurcoo,0.06201368197798729,2
7,0:00:35,grebit1,0.054238349199295044,3
7,0:00:35,eueowl1,0.05068385228514671,4
7,0:00:35,watrai1,0.039081890136003494,5
8,0:00:40,eurrob1,0.09891874343156815,1
8,0:00:40,sonthr1,0.08353383094072342,2
8,0:00:40,tawowl1,0.07747188210487366,3
8,0:00:40,eurcoo,0.041252825409173965,4
8,0:00:40,watrai1,0.0345134362578392,5
9,0:00:45,tawowl1,0.10061856359243393,1
9,0:00:45,loeowl,0.08127259463071823,2
9,0:00:45,eurcoo,0.06511089950799942,3
9,0:00:45,commoo3,0.04423891007900238,4
9,0:00:45,watrai1,0.04031885042786598,5
10,0:00:50,tawowl1,0.1539456993341446,1
10,0:00:50,eurcoo,0.07306451350450516,2
10,0:00:50,eueowl1,0.05106067657470703,3
10,0:00:50,loeowl,0.03747076168656349,4
10,0:00:50,commoo3,0.03544719144701958,5
11,0:00:55,tawowl1,0.09743966162204742,1
11,0:00:55,eurcoo,0.07591957598924637,2
11,0:00:55,commoo3,0.06067270785570145,3
11,0:00:55,watrai1,0.044731318950653076,4
11,0:00:55,eueowl1,0.03922365605831146,5
12,0:01:00,eurcoo,0.10835295915603638,1
12,0:01:00,tawowl1,0.0901283398270607,2
12,0:01:00,commoo3,0.06030597165226936,3
12,0:01:00,watrai1,0.05131086707115173,4
12,0:01:00,eueowl1,0.03487686440348625,5
13,0:01:05,eurcoo,0.11065825074911118,1
13,0:01:05,tawowl1,0.08109284192323685,2
13,0:01:05,commoo3,0.06857437640428543,3
13,0:01:05,watrai1,0.05595288425683975,4
13,0:01:05,eueowl1,0.037654828280210495,5
14,0:01:10,commoo3,0.13235032558441162,1
14,0:01:10,tawowl1,0.10071983933448792,2
14,0:01:10,brnowl,0.09195791929960251,3
14,0:01:10,eurcoo,0.06681833416223526,4
14,0:01:10,watrai1,0.053414177149534225,5
15,0:01:15,eurcoo,0.10445717722177505,1
15,0:01:15,tawowl1,0.08451584726572037,2
15,0:01:15,commoo3,0.07795388996601105,3
15,0:01:15,watrai1,0.0536155141890049,4
15,0:01:15,eueowl1,0.04891902580857277,5
16,0:01:20,tawowl1,0.14208509027957916,1
16,0:01:20,eueowl1,0.04555046558380127,2
16,0:01:20,eurcoo,0.0389741025865078,3
16,0:01:20,watrai1,0.034770622849464417,4
16,0:01:20,commoo3,0.027693364769220352,5
17,0:01:25,tawowl1,0.0852748304605484,1
17,0:01:25,eueowl1,0.06538229435682297,2
17,0:01:25,eurcoo,0.044780828058719635,3
17,0:01:25,loeowl,0.040805667638778687,4
17,0:01:25,watrai1,0.03920260816812515,5
18,0:01:30,tawowl1,0.10205769538879395,1
18,0:01:30,eurcoo,0.05199336260557175,2
18,0:01:30,eurrob1,0.04639999195933342,3
18,0:01:30,watrai1,0.045707058161497116,4
18,0:01:30,eueowl1,0.03987034037709236,5
19,0:01:35,loeowl,0.4611939489841461,1
19,0:01:35,eueowl1,0.16319385170936584,2
19,0:01:35,grhowl,0.09776431322097778,3
