frame,time,class,probability,probability_rank
0,0:00:00,eueowl1,0.06987561285495758,1
0,0:00:00,commoo3,0.06763551384210587,2
0,0:00:00,tawowl1,0.06260327994823456,3
0,0:00:00,loeowl,0.06055999919772148,4
0,0:00:00,eurcoo,0.05649679899215698,5
1,0:00:05,tawowl1,0.0839066207408905,1
1,0:00:05,loeowl,0.056593455374240875,2
1,0:00:05,eurcoo,0.04028700664639473,3
1,0:00:05,eueowl1,0.036035213619470596,4
1,0:00:05,grebit1,0.0303068645298481,5
2,0:00:10,loeowl,0.09689297527074814,1
2,0:00:10,tawowl1,0.06246465817093849,2
2,0:00:10,eueowl1,0.05612420663237572,3
2,0:00:10,commoo3,0.0490482933819294,4
2,0:00:10,eurcoo,0.04761569947004318,5
3,0:00:15,loeowl,0.0723198801279068,1
3,0:00:15,tawowl1,0.06088712811470032,2
3,0:00:15,eueowl1,0.060226600617170334,3
3,0:00:15,commoo3,0.05763402208685875,4
3,0:00:15,eurcoo,0.039872873574495316,5
4,0:00:20,loeowl,0.09466470032930374,1
4,0:00:20,watrai1,0.05838203430175781,2
4,0:00:20,tawowl1,0.051702432334423065,3
4,0:00:20,eurcoo,0.05095180496573448,4
4,0:00:20,commoo3,0.048356011509895325,5
5,0:00:25,loeowl,0.06655043363571167,1
5,0:00:25,blawoo1,0.04708101227879524,2
5,0:00:25,tawowl1,0.03807585686445236,3
5,0:00:25,eurcoo,0.028337707743048668,4
5,0:00:25,jacsni,0.027249371632933617,5
6,0:00:30,tawowl1,0.049403149634599686,1
6,0:00:30,loeowl,0.0362568274140358,2
6,0:00:30,eurcoo,0.027619939297437668,3
6,0:00:30,comrav,0.02757026068866253,4
6,0:00:30,eueowl1,0.025206757709383965,5
7,0:00:35,loeowl,0.2182312309741974,1
7,0:00:35,eueowl1,0.0987846627831459,2
7,0:00:35,tawowl1,0.04156887158751488,3
7,0:00:35,commoo3,0.032455239444971085,4
7,0:00:35,watrai1,0.019792117178440094,5
8,0:00:40,eueowl1,0.06992035359144211,1
8,0:00:40,commoo3,0.05988883599638939,2
8,0:00:40,eurcoo,0.05206925421953201,3
8,0:00:40,loeowl,0.05048494040966034,4
8,0:00:40,tawowl1,0.0452515184879303,5
9,0:00:45,loeowl,0.06824497878551483,1
9,0:00:45,commoo3,0.05732404813170433,2
