frame,time,class,probability,probability_rank
0,0:00:00,tawowl1,0.1537456065416336,1
0,0:00:00,loeowl,0.1445145308971405,2
0,0:00:00,uraowl1,0.04711337387561798,3
0,0:00:00,eueowl1,0.03338396176695824,4
0,0:00:00,commoo3,0.0316469706594944,5
1,0:00:05,loeowl,0.24370786547660828,1
1,0:00:05,tawowl1,0.12659357488155365,2
1,0:00:05,uraowl1,0.051062632352113724,3
1,0:00:05,eueowl1,0.03599076718091965,4
1,0:00:05,commoo3,0.03204365819692612,5
2,0:00:10,loeowl,0.5832661986351013,1
2,0:00:10,grhowl,0.1895866096019745,2
2,0:00:10,uraowl1,0.045784518122673035,3
2,0:00:10,eueowl1,0.04006626829504967,4
2,0:00:10,grgowl,0.0297755878418684,5
3,0:00:15,loeowl,0.12059330195188522,1
3,0:00:15,uraowl1,0.09144064784049988,2
3,0:00:15,tawowl1,0.07992598414421082,3
3,0:00:15,eueowl1,0.06222078576683998,4
3,0:00:15,eurcoo,0.04183816537261009,5
4,0:00:20,grebit1,0.11121560633182526,1
4,0:00:20,loeowl,0.09190858155488968,2
4,0:00:20,tawowl1,0.07596135884523392,3
4,0:00:20,commoo3,0.030702436342835426,4
4,0:00:20,comqua1,0.027085421606898308,5
5,0:00:25,loeowl,0.2075204700231552,1
5,0:00:25,eueowl1,0.10151791572570801,2
5,0:00:25,uraowl1,0.09202705323696136,3
5,0:00:25,grhowl,0.06876275688409805,4
5,0:00:25,tawowl1,0.062452394515275955,5
6,0:00:30,tawowl1,0.11611749231815338,1
6,0:00:30,loeowl,0.10668502748012543,2
6,0:00:30,grebit1,0.05469333007931709,3
6,0:00:30,uraowl1,0.0506957545876503,4
6,0:00:30,eurcoo,0.049831051379442215,5
7,0:00:35,litbit1,0.8979843854904175,1
7,0:00:35,uraowl1,0.02554151974618435,2
7,0:00:35,comrav,0.017565572634339333,3
7,0:00:35,grebit1,0.007930479012429714,4
7,0:00:35,graher1,0.004584725480526686,5
8,0:00:40,whoswa,0.4680895209312439,1
8,0:00:40,comcuc,0.03583262115716934,2
8,0:00:40,grebit1,0.02399427630007267,3
8,0:00:40,tawowl1,0.023655062541365623,4
8,0:00:40,eurcoo,0.022005712613463402,5
9,0:00:45,loeowl,0.1339547485113144,1
9,0:00:45,tawowl1,0.09068382531404495,2
9,0:00:45,uraowl1,0.07482382655143738,3
9,0:00:45,eurcoo,0.04481466859579086,4
9,0:00:45,eueowl1,0.03698382154107094,5
10,0:00:50,tawowl1,0.16910117864608765,1
10,0:00:50,loeowl,0.08814464509487152,2
10,0:00:50,commoo3,0.045711178332567215,3
10,0:00:50,eurcoo,0.042034316807985306,4
10,0:00:50,uraowl1,0.02868194691836834,5
11,0:00:55,grebit1,0.09988626092672348,1
11,0:00:55,uraowl1,0.09951485693454742,2
11,0:00:55,loeowl,0.07171686738729477,3
11,0:00:55,tawowl1,0.053369857370853424,4
11,0:00:55,graher1,0.04175727069377899,5
12,0:01:00,tawowl1,0.10514325648546219,1
12,0:01:00,loeowl,0.08264791965484619,2
12,0:01:00,uraowl1,0.03503648191690445,3
12,0:01:00,grebit1,0.031159156933426857,4
12,0:01:00,commoo3,0.030365243554115295,5
13,0:01:05,grebit1,0.3547109365463257,1
13,0:01:05,loeowl,0.09810617566108704,2
13,0:01:05,tawowl1,0.054886601865291595,3
13,0:01:05,graher1,0.037285394966602325,4
13,0:01:05,eurcoo,0.026158740743994713,5
14,0:01:10,tawowl1,0.14707061648368835,1
14,0:01:10,loeowl,0.11924634128808975,2
14,0:01:10,eurcoo,0.03587455302476883,3
14,0:01:10,uraowl1,0.03566444665193558,4
14,0:01:10,commoo3,0.03424277529120445,5
15,0:01:15,loeowl,0.18416109681129456,1
15,0:01:15,tawowl1,0.08419427275657654,2
15,0:01:15,uraowl1,0.07348404824733734,3
15,0:01:15,eueowl1,0.04205161705613136,4
15,0:01:15,eurcoo,0.04174141213297844,5
16,0:01:20,loeowl,0.13780376315116882,1
16,0:01:20,tawowl1,0.12842538952827454,2
16,0:01:20,commoo3,0.05110890418291092,3
16,0:01:20,uraowl1,0.04569900408387184,4
16,0:01:20,eurcoo,0.04062167555093765,5
17,0:01:25,loeowl,0.21383358538150787,1
17,0:01:25,eueowl1,0.15897613763809204,2
17,0:01:25,tawowl1,0.0720200464129448,3
17,0:01:25,litowl1,0.024734240025281906,4
17,0:01:25,brnowl,0.021777363494038582,5
18,0:01:30,grebit1,0.08155454695224762,1
18,0:01:30,loeowl,0.06894328445196152,2
18,0:01:30,tawowl1,0.04655696824193001,3
18,0:01:30,grhowl,0.03937550634145737,4
18,0:01:30,jasowl1,0.03557628393173218,5
19,0:01:35,tawowl1,0.1599394530057907,1
19,0:01:35,loeowl,0.11110752820968628,2
19,0:01:35,eueowl1,0.03622446954250336,3
19,0:01:35,eurcoo,0.0323713980615139,4
19,0:01:35,grebit1,0.027090884745121002,5
20,0:01:40,loeowl,0.16599130630493164,1
20,0:01:40,tawowl1,0.08864983916282654,2
20,0:01:40,grhowl,0.07456035912036896,3
20,0:01:40,eurcoo,0.05862458422780037,4
20,0:01:40,uraowl1,0.049129974097013474,5
21,0:01:45,loeowl,0.20882877707481384,1
21,0:01:45,tawowl1,0.07623299211263657,2
21,0:01:45,uraowl1,0.0721706822514534,3
21,0:01:45,grebit1,0.05531013011932373,4
21,0:01:45,eueowl1,0.049354713410139084,5
22,0:01:50,loeowl,0.10750432312488556,1
22,0:01:50,graher1,0.09390688687562943,2
22,0:01:50,eueowl1,0.07413259893655777,3
22,0:01:50,brnowl,0.05143876001238823,4
22,0:01:50,tawowl1,0.04939783364534378,5
23,0:01:55,tawowl1,0.16591523587703705,1
23,0:01:55,loeowl,0.11518387496471405,2
23,0:01:55,commoo3,0.04666226729750633,3
23,0:01:55,eurcoo,0.04269534349441528,4
23,0:01:55,uraowl1,0.032632652670145035,5
24,0:02:00,watrai1,0.4013941287994385,1
24,0:02:00,loeowl,0.2423468381166458,2
24,0:02:00,tawowl1,0.04706114903092384,3
24,0:02:00,litgre1,0.03893058001995087,4
24,0:02:00,ortbun1,0.014404624700546265,5
25,0:02:05,tawowl1,0.14633509516716003,1
25,0:02:05,loeowl,0.11933115869760513,2
25,0:02:05,uraowl1,0.04726304113864899,3
25,0:02:05,eurcoo,0.04562569037079811,4
25,0:02:05,commoo3,0.04125542193651199,5
26,0:02:10,tawowl1,0.1419217437505722,1
26,0:02:10,loeowl,0.13791640102863312,2
26,0:02:10,eurcoo,0.03884388878941536,3
26,0:02:10,uraowl1,0.0353844128549099,4
26,0:02:10,commoo3,0.03429368883371353,5
27,0:02:15,tawowl1,0.12462165951728821,1
27,0:02:15,loeowl,0.08890797942876816,2
27,0:02:15,commoo3,0.03925182297825813,3
27,0:02:15,eurcoo,0.037520501762628555,4
27,0:02:15,uraowl1,0.033752840012311935,5
28,0:02:20,tawowl1,0.12731041014194489,1
28,0:02:20,loeowl,0.0949397012591362,2
28,0:02:20,eurcoo,0.04081321135163307,3
28,0:02:20,commoo3,0.03383732959628105,4
28,0:02:20,eueowl1,0.03340304270386696,5
29,0:02:25,grebit1,0.34163179993629456,1
29,0:02:25,loeowl,0.15693862736225128,2
29,0:02:25,tawowl1,0.04869825765490532,3
29,0:02:25,eueowl1,0.032224178314208984,4
29,0:02:25,graher1,0.03135808929800987,5
30,0:02:30,tawowl1,0.1408594846725464,1
30,0:02:30,loeowl,0.1004057377576828,2
30,0:02:30,eueowl1,0.0656307265162468,3
30,0:02:30,uraowl1,0.04891760274767876,4
30,0:02:30,brnowl,0.04185328632593155,5
31,0:02:35,loeowl,0.18130241334438324,1
31,0:02:35,tawowl1,0.12951770424842834,2
31,0:02:35,uraowl1,0.05778718367218971,3
31,0:02:35,eueowl1,0.047372005879879,4
31,0:02:35,eurcoo,0.038944143801927567,5
32,0:02:40,tawowl1,0.19194066524505615,1
32,0:02:40,loeowl,0.09153150767087936,2
32,0:02:40,commoo3,0.03972020000219345,3
32,0:02:40,eurcoo,0.0349956676363945,4
32,0:02:40,uraowl1,0.030436981469392776,5
33,0:02:45,tawowl1,0.1465272605419159,1
33,0:02:45,loeowl,0.10208438336849213,2
33,0:02:45,eurcoo,0.039497148245573044,3
33,0:02:45,commoo3,0.036717578768730164,4
33,0:02:45,uraowl1,0.034991875290870667,5
34,0:02:50,tawowl1,0.1302165538072586,1
34,0:02:50,loeowl,0.08354122936725616,2
34,0:02:50,commoo3,0.040959011763334274,3
34,0:02:50,eurcoo,0.03734303265810013,4
34,0:02:50,borowl,0.03258456289768219,5
35,0:02:55,tawowl1,0.15198713541030884,1
35,0:02:55,loeowl,0.100494384765625,2
35,0:02:55,eurcoo,0.03583058342337608,3
35,0:02:55,commoo3,0.03481164574623108,4
35,0:02:55,eurnig1,0.029203511774539948,5
36,0:03:00,tawowl1,0.18130706250667572,1
36,0:03:00,loeowl,0.09962157160043716,2
36,0:03:00,commoo3,0.05246761813759804,3
36,0:03:00,eurcoo,0.05067795515060425,4
36,0:03:00,uraowl1,0.0355873666703701,5
37,0:03:05,tawowl1,0.1647908091545105,1
37,0:03:05,loeowl,0.08650606870651245,2
37,0:03:05,eurcoo,0.05500710755586624,3
37,0:03:05,commoo3,0.047978829592466354,4
37,0:03:05,uraowl1,0.02958775870501995,5
38,0:03:10,loeowl,0.14711329340934753,1
38,0:03:10,tawowl1,0.12483101338148117,2
38,0:03:10,commoo3,0.03593643009662628,3
38,0:03:10,eurcoo,0.03568188101053238,4
38,0:03:10,eueowl1,0.029569974169135094,5
39,0:03:15,loeowl,0.1335344910621643,1
39,0:03:15,tawowl1,0.12551872432231903,2
39,0:03:15,uraowl1,0.051809292286634445,3
39,0:03:15,eurcoo,0.03388575091958046,4
39,0:03:15,commoo3,0.030543651431798935,5
40,0:03:20,tawowl1,0.12198233604431152,1
40,0:03:20,loeowl,0.09304844588041306,2
40,0:03:20,commoo3,0.0453055202960968,3
40,0:03:20,eurcoo,0.04187246412038803,4
40,0:03:20,uraowl1,0.036601923406124115,5
41,0:03:25,tawowl1,0.16925501823425293,1
41,0:03:25,loeowl,0.09946321696043015,2
41,0:03:25,eurcoo,0.0643778145313263,3
41,0:03:25,eueowl1,0.03918703272938728,4
41,0:03:25,commoo3,0.038685258477926254,5
42,0:03:30,tawowl1,0.14015887677669525,1
42,0:03:30,loeowl,0.12126803398132324,2
42,0:03:30,eurcoo,0.05776112526655197,3
42,0:03:30,commoo3,0.04951104521751404,4
42,0:03:30,uraowl1,0.04660604149103165,5
43,0:03:35,loeowl,0.31202417612075806,1
43,0:03:35,uraowl1,0.18200351297855377,2
43,0:03:35,grhowl,0.17757603526115417,3
43,0:03:35,eueowl1,0.11180245876312256,4
43,0:03:35,tawowl1,0.0405980721116066,5
44,0:03:40,eueowl1,0.20510514080524445,1
44,0:03:40,uraowl1,0.19274432957172394,2
44,0:03:40,loeowl,0.1471356302499771,3
44,0:03:40,tawowl1,0.06226297840476036,4
44,0:03:40,eurcoo,0.027447998523712158,5
45,0:03:45,loeowl,0.18279129266738892,1
45,0:03:45,graher1,0.16208547353744507,2
45,0:03:45,grgowl,0.09710100293159485,3
45,0:03:45,grebit1,0.06882613897323608,4
45,0:03:45,eueowl1,0.042746640741825104,5
46,0:03:50,tawowl1,0.09542948752641678,1
46,0:03:50,whoswa,0.08876458555459976,2
46,0:03:50,loeowl,0.07548744231462479,3
46,0:03:50,borowl,0.03463279455900192,4
46,0:03:50,eurcoo,0.033040862530469894,5
47,0:03:55,loeowl,0.15779228508472443,1
47,0:03:55,tawowl1,0.15243203938007355,2
47,0:03:55,eueowl1,0.04442986845970154,3
47,0:03:55,commoo3,0.043904274702072144,4
47,0:03:55,uraowl1,0.043484169989824295,5
48,0:04:00,tawowl1,0.1544303447008133,1
48,0:04:00,loeowl,0.13586919009685516,2
48,0:04:00,uraowl1,0.04294167831540108,3
48,0:04:00,eueowl1,0.0393877737224102,4
48,0:04:00,brnowl,0.031170321628451347,5
49,0:04:05,uraowl1,0.23580603301525116,1
49,0:04:05,loeowl,0.08468220382928848,2
49,0:04:05,tawowl1,0.06785460561513901,3
49,0:04:05,flaowl,0.05126507207751274,4
49,0:04:05,litbit1,0.03608091548085213,5
50,0:04:10,litbit1,0.31020990014076233,1
50,0:04:10,loeowl,0.1478826254606247,2
50,0:04:10,eueowl1,0.053003888577222824,3
50,0:04:10,uraowl1,0.050080738961696625,4
50,0:04:10,whoswa,0.04352284222841263,5
