frame,time,class,probability,probability_rank
0,0:00:00,tawowl1,0.1318848431110382,1
0,0:00:00,eueowl1,0.0863175317645073,2
0,0:00:00,loeowl,0.05072920769453049,3
0,0:00:00,eurcoo,0.03297293558716774,4
0,0:00:00,commoo3,0.026425231248140335,5
1,0:00:05,tawowl1,0.1311739981174469,1
1,0:00:05,eueowl1,0.12436309456825256,2
1,0:00:05,loeowl,0.09265827387571335,3
1,0:00:05,grebit1,0.060824956744909286,4
1,0:00:05,watrai1,0.02627122402191162,5
2,0:00:10,tawowl1,0.09643851965665817,1
2,0:00:10,eurcoo,0.07060877233743668,2
2,0:00:10,eueowl1,0.06851547211408615,3
2,0:00:10,loeowl,0.03983679786324501,4
2,0:00:10,watrai1,0.03770028054714203,5
3,0:00:15,tawowl1,0.15023083984851837,1
3,0:00:15,loeowl,0.06374814361333847,2
3,0:00:15,eurcoo,0.049114830791950226,3
3,0:00:15,eueowl1,0.048495128750801086,4
3,0:00:15,corbun1,0.02213277481496334,5
4,0:00:20,loeowl,0.08963517844676971,1
4,0:00:20,tawowl1,0.07979615777730942,2
4,0:00:20,hazgro1,0.029061544686555862,3
4,0:00:20,eueowl1,0.026312921196222305,4
4,0:00:20,watrai1,0.020561574026942253,5
5,0:00:25,tawowl1,0.08688897639513016,1
5,0:00:25,loeowl,0.0762765109539032,2
5,0:00:25,rinphe,0.04584938660264015,3
5,0:00:25,eurcoo,0.030911464244127274,4
5,0:00:25,eueowl1,0.028052296489477158,5
6,0:00:30,tawowl1,0.04902007058262825,1
6,0:00:30,loeowl,0.04716186970472336,2
6,0:00:30,eueowl1,0.027562662959098816,3
6,0:00:30,commoo3,0.02682705968618393,4
6,0:00:30,eurcoo,0.0257408544421196,5
7,0:00:35,loeowl,0.06388570368289948,1
7,0:00:35,tawowl1,0.058860763907432556,2
7,0:00:35,eueowl1,0.0457448773086071,3
7,0:00:35,comrav,0.03755169361829758,4
7,0:00:35,eurrob1,0.019504506140947342,5
8,0:00:40,tawowl1,0.1080142930150032,1
8,0:00:40,eueowl1,0.0701994076371193,2
8,0:00:40,loeowl,0.04733036085963249,3
8,0:00:40,eurcoo,0.04326556622982025,4
8,0:00:40,commoo3,0.037986110895872116,5
9,0:00:45,tawowl1,0.18493744730949402,1
9,0:00:45,loeowl,0.05844219774007797,2
9,0:00:45,eurcoo,0.051436834037303925,3
9,0:00:45,eueowl1,0.05053769424557686,4
9,0:00:45,watrai1,0.03482925519347191,5
10,0:00:50,tawowl1,0.10885529220104218,1
10,0:00:50,loeowl,0.058458294719457626,2
10,0:00:50,eueowl1,0.04128693416714668,3
10,0:00:50,commoo3,0.03361808881163597,4
10,0:00:50,eurcoo,0.024906408041715622,5
11,0:00:55,eurcoo,0.13575191795825958,1
11,0:00:55,tawowl1,0.0878545269370079,2
11,0:00:55,commoo3,0.08392499387264252,3
11,0:00:55,eueowl1,0.05749388411641121,4
11,0:00:55,loeowl,0.031443629413843155,5
12,0:01:00,eueowl1,0.06287480145692825,1
12,0:01:00,comqua1,0.0577361024916172,2
12,0:01:00,loeowl,0.04533883556723595,3
12,0:01:00,tawowl1,0.04022497683763504,4
12,0:01:00,commoo3,0.03259890526533127,5
13,0:01:05,tawowl1,0.07323639839887619,1
13,0:01:05,eueowl1,0.05059893801808357,2
13,0:01:05,loeowl,0.04999380186200142,3
13,0:01:05,eurcoo,0.04714161902666092,4
13,0:01:05,commoo3,0.035574015229940414,5
14,0:01:10,tawowl1,0.11114771664142609,1
14,0:01:10,eurcoo,0.07475418597459793,2
14,0:01:10,watrai1,0.051099833101034164,3
14,0:01:10,commoo3,0.04349368438124657,4
14,0:01:10,sonthr1,0.030751848593354225,5
15,0:01:15,blawoo1,0.12677419185638428,1
15,0:01:15,eurcoo,0.05538751929998398,2
15,0:01:15,loeowl,0.039624106138944626,3
15,0:01:15,comrav,0.034798454493284225,4
15,0:01:15,commoo3,0.033788252621889114,5
16,0:01:20,commoo3,0.04921882599592209,1
16,0:01:20,eueowl1,0.039869096130132675,2
16,0:01:20,tawowl1,0.03388294205069542,3
16,0:01:20,blagro1,0.028615208342671394,4
16,0:01:20,comrav,0.02215295471251011,5
17,0:01:25,tawowl1,0.11637962609529495,1
17,0:01:25,loeowl,0.09705469757318497,2
17,0:01:25,eueowl1,0.05357172340154648,3
17,0:01:25,eurcoo,0.030325498431921005,4
17,0:01:25,watrai1,0.023432357236742973,5
18,0:01:30,tawowl1,0.07182913273572922,1
18,0:01:30,eueowl1,0.05128582939505577,2
18,0:01:30,eurcoo,0.04822416603565216,3
18,0:01:30,loeowl,0.04717809334397316,4
18,0:01:30,commoo3,0.03677050769329071,5
19,0:01:35,tawowl1,0.1831882894039154,1
19,0:01:35,loeowl,0.06843796372413635,2
19,0:01:35,eueowl1,0.060103368014097214,3
19,0:01:35,eurcoo,0.055665794759988785,4
19,0:01:35,commoo3,0.043188802897930145,5
20,0:01:40,loeowl,0.15774628520011902,1
