frame,time,class,probability,probability_rank
0,0:00:00,martit2,0.39865028858184814,1
0,0:00:00,hawfin,0.1801222264766693,2
0,0:00:00,coatit2,0.14056280255317688,3
0,0:00:00,blutit,0.054028235375881195,4
0,0:00:00,gretit1,0.038413818925619125,5
1,0:00:05,gretit1,0.2796584963798523,1
1,0:00:05,eurnut2,0.08595585078001022,2
1,0:00:05,blutit,0.0469803549349308,3
1,0:00:05,eurtre1,0.0451471172273159,4
1,0:00:05,shttre1,0.03113825060427189,5
2,0:00:10,blutit,0.45358312129974365,1
2,0:00:10,hawfin,0.04157816618680954,2
2,0:00:10,eurrob1,0.03556061163544655,3
2,0:00:10,eurtre1,0.03399811312556267,4
2,0:00:10,lottit1,0.029224099591374397,5
3,0:00:15,lottit1,0.10200555622577667,1
3,0:00:15,shttre1,0.09035998582839966,2
3,0:00:15,martit2,0.06764805316925049,3
3,0:00:15,gretit1,0.06638697534799576,4
3,0:00:15,eurtre1,0.06277170777320862,5
4,0:00:20,blutit,0.573468029499054,1
4,0:00:20,gretit1,0.05752672627568245,2
4,0:00:20,goldcr1,0.04797850176692009,3
4,0:00:20,eurtre1,0.032002631574869156,4
4,0:00:20,eurbla,0.0316559299826622,5
5,0:00:25,blutit,0.6253367066383362,1
5,0:00:25,shttre1,0.03684274107217789,2
5,0:00:25,gretit1,0.02781282551586628,3
5,0:00:25,comchi1,0.024081457406282425,4
5,0:00:25,coatit2,0.023057179525494576,5
6,0:00:30,blutit,0.4185592830181122,1
6,0:00:30,dunnoc1,0.07322472333908081,2
6,0:00:30,martit2,0.04575984552502632,3
6,0:00:30,coatit2,0.04135356843471527,4
6,0:00:30,eurrob1,0.036864299327135086,5
7,0:00:35,eurrob1,0.11633206158876419,1
7,0:00:35,blutit,0.08838087320327759,2
7,0:00:35,dunnoc1,0.08428848534822464,3
7,0:00:35,gretit1,0.07498859614133835,4
7,0:00:35,winwre4,0.055667564272880554,5
8,0:00:40,blutit,0.5893884897232056,1
8,0:00:40,martit2,0.13251817226409912,2
8,0:00:40,eurnut2,0.030623529106378555,3
8,0:00:40,eurbul,0.02767934836447239,4
8,0:00:40,gretit1,0.014775983989238739,5
9,0:00:45,blutit,0.26426202058792114,1
9,0:00:45,gretit1,0.154523566365242,2
9,0:00:45,shttre1,0.052115876227617264,3
9,0:00:45,tawowl1,0.029499676078557968,4
9,0:00:45,eurrob1,0.019089560955762863,5
10,0:00:50,blawoo1,0.11652426421642303,1
10,0:00:50,gretit1,0.09907849878072739,2
10,0:00:50,shttre1,0.07194029539823532,3
10,0:00:50,blutit,0.07113892585039139,4
10,0:00:50,eurnut2,0.06906312704086304,5
11,0:00:55,blutit,0.6360841393470764,1
11,0:00:55,eurtre1,0.14838653802871704,2
11,0:00:55,blawoo1,0.015727052465081215,3
11,0:00:55,grswoo,0.013846483081579208,4
11,0:00:55,coatit2,0.0134978536516428,5
12,0:01:00,blutit,0.7893480658531189,1
12,0:01:00,eurtre1,0.026960313320159912,2
12,0:01:00,gretit1,0.0254429392516613,3
12,0:01:00,coatit2,0.011355554684996605,4
12,0:01:00,eurrob1,0.01009442750364542,5
13,0:01:05,lottit1,0.14043503999710083,1
13,0:01:05,blutit,0.12721508741378784,2
13,0:01:05,eurtre1,0.11457501351833344,3
13,0:01:05,winwre4,0.07584801316261292,4
13,0:01:05,eurrob1,0.072176493704319,5
14,0:01:10,blutit,0.823555588722229,1
14,0:01:10,coatit2,0.03149541839957237,2
14,0:01:10,eurtre1,0.0297703854739666,3
14,0:01:10,eurnut2,0.023292047902941704,4
14,0:01:10,comkin1,0.008562895469367504,5
15,0:01:15,blutit,0.11428588628768921,1
15,0:01:15,eurtre1,0.07068794220685959,2
15,0:01:15,lottit1,0.05019497126340866,3
15,0:01:15,eurnut2,0.0419730581343174,4
15,0:01:15,gretit1,0.03890886530280113,5
16,0:01:20,blutit,0.6006247997283936,1
16,0:01:20,eurnut2,0.29196691513061523,2
16,0:01:20,eurtre1,0.02372547797858715,3
16,0:01:20,gretit1,0.013826746493577957,4
16,0:01:20,coatit2,0.01313522644340992,5
17,0:01:25,coatit2,0.19049856066703796,1
17,0:01:25,winwre4,0.08666368573904037,2
17,0:01:25,eurnut2,0.06482592970132828,3
17,0:01:25,goldcr1,0.05670648068189621,4
17,0:01:25,blutit,0.045797716826200485,5
18,0:01:30,shttre1,0.5217685699462891,1
18,0:01:30,coatit2,0.07185948640108109,2
18,0:01:30,eurtre1,0.07085886597633362,3
18,0:01:30,blutit,0.04210687801241875,4
18,0:01:30,lottit1,0.041373588144779205,5
19,0:01:35,blutit,0.5472160577774048,1
19,0:01:35,eurtre1,0.2660379111766815,2
19,0:01:35,coatit2,0.014967881143093109,3
19,0:01:35,eurrob1,0.009110930375754833,4
19,0:01:35,shttre1,0.008142899721860886,5
20,0:01:40,gretit1,0.4635504484176636,1
20,0:01:40,blutit,0.08366742730140686,2
20,0:01:40,coatit2,0.058515168726444244,3
20,0:01:40,shttre1,0.0526016503572464,4
20,0:01:40,eurtre1,0.04999830573797226,5
21,0:01:45,martit2,0.30155447125434875,1
21,0:01:45,blutit,0.2302084118127823,2
21,0:01:45,gretit1,0.07841282337903976,3
21,0:01:45,eurtre1,0.05640273168683052,4
21,0:01:45,eurnut2,0.020884759724140167,5
22,0:01:50,martit2,0.13931713998317719,1
22,0:01:50,cretit2,0.11227274686098099,2
22,0:01:50,eurtre1,0.11036790907382965,3
22,0:01:50,eurnut2,0.08523426204919815,4
22,0:01:50,gretit1,0.05193207040429115,5
23,0:01:55,blutit,0.1287781447172165,1
23,0:01:55,eurrob1,0.11106914281845093,2
23,0:01:55,firecr1,0.06928097456693649,3
23,0:01:55,gretit1,0.06380902975797653,4
23,0:01:55,eurtre1,0.060867615044116974,5
24,0:02:00,eurtre1,0.19610360264778137,1
24,0:02:00,blutit,0.16496217250823975,2
24,0:02:00,martit2,0.06603414565324783,3
24,0:02:00,eurnut2,0.05699077993631363,4
24,0:02:00,gretit1,0.05242905393242836,5
25,0:02:05,blutit,0.22676824033260345,1
25,0:02:05,gretit1,0.13014355301856995,2
25,0:02:05,eurnut2,0.11520252376794815,3
25,0:02:05,eurtre1,0.06692016124725342,4
25,0:02:05,lottit1,0.04898543283343315,5
26,0:02:10,eurrob1,0.08112750202417374,1
26,0:02:10,eurnut2,0.07152166217565536,2
26,0:02:10,gretit1,0.04216401278972626,3
26,0:02:10,gockin,0.030157912522554398,4
26,0:02:10,eurbul,0.028916751965880394,5
27,0:02:15,gretit1,0.4440152645111084,1
27,0:02:15,eurtre1,0.10193639993667603,2
27,0:02:15,eurrob1,0.06796000897884369,3
27,0:02:15,lottit1,0.04269504174590111,4
27,0:02:15,firecr1,0.03657672554254532,5
28,0:02:20,lottit1,0.0860695168375969,1
28,0:02:20,eurrob1,0.062272727489471436,2
28,0:02:20,shttre1,0.04282395541667938,3
28,0:02:20,goldcr1,0.035476092249155045,4
28,0:02:20,gretit1,0.03546644374728203,5
29,0:02:25,martit2,0.5424792766571045,1
29,0:02:25,gretit1,0.30207115411758423,2
29,0:02:25,wiltit1,0.02397296577692032,3
29,0:02:25,blutit,0.014334085397422314,4
29,0:02:25,eurrob1,0.01161919068545103,5
30,0:02:30,martit2,0.34920790791511536,1
30,0:02:30,blutit,0.20695754885673523,2
30,0:02:30,gretit1,0.08399433642625809,3
30,0:02:30,eurrob1,0.03169660642743111,4
30,0:02:30,coatit2,0.029330004006624222,5
31,0:02:35,eurrob1,0.5191784501075745,1
31,0:02:35,lottit1,0.048193272203207016,2
31,0:02:35,blutit,0.040325697511434555,3
31,0:02:35,gretit1,0.031229449436068535,4
