frame,time,class,probability,probability_rank
0,0:00:00,norsho,0.28934428095817566,1
0,0:00:00,eurcoo,0.04442361369729042,2
0,0:00:00,tawowl1,0.04231307655572891,3
0,0:00:00,comcra,0.04178478196263313,4
0,0:00:00,watrai1,0.034804102033376694,5
1,0:00:05,watrai1,0.05926622450351715,1
1,0:00:05,norsho,0.04782284423708916,2
1,0:00:05,eurcoo,0.043891046196222305,3
1,0:00:05,commoo3,0.04135795310139656,4
1,0:00:05,tawowl1,0.04034891724586487,5
2,0:00:10,loeowl,0.10431472212076187,1
2,0:00:10,tawowl1,0.07105359435081482,2
2,0:00:10,eurcoo,0.0524677149951458,3
2,0:00:10,nswowl,0.03627587854862213,4
2,0:00:10,commoo3,0.0304537545889616,5
3,0:00:15,loeowl,0.07489142566919327,1
3,0:00:15,tawowl1,0.05936872214078903,2
3,0:00:15,eurcoo,0.0479615144431591,3
3,0:00:15,eueowl1,0.04541570693254471,4
3,0:00:15,watrai1,0.038982316851615906,5
4,0:00:20,loeowl,0.07699678093194962,1
4,0:00:20,eurcoo,0.06394953280687332,2
4,0:00:20,watrai1,0.05928674712777138,3
4,0:00:20,ortbun1,0.053319718688726425,4
4,0:00:20,tawowl1,0.04552164673805237,5
5,0:00:25,loeowl,0.1413232684135437,1
5,0:00:25,tawowl1,0.08455958217382431,2
5,0:00:25,eurcoo,0.05077298730611801,3
5,0:00:25,eurwoo,0.03831811994314194,4
5,0:00:25,eueowl1,0.03575574979186058,5
6,0:00:30,loeowl,0.08296942710876465,1
6,0:00:30,tawowl1,0.07134968042373657,2
6,0:00:30,eueowl1,0.048162735998630524,3
6,0:00:30,commoo3,0.047753460705280304,4
6,0:00:30,eurcoo,0.046929918229579926,5
7,0:00:35,loeowl,0.102397620677948,1
7,0:00:35,eurcoo,0.0505196787416935,2
7,0:00:35,commoo3,0.046925462782382965,3
7,0:00:35,brnowl,0.037603702396154404,4
7,0:00:35,tawowl1,0.03612056002020836,5
8,0:00:40,commoo3,0.0899934321641922,1
8,0:00:40,eueowl1,0.07767395675182343,2
8,0:00:40,loeowl,0.06572290509939194,3
8,0:00:40,eurcoo,0.05174453929066658,4
8,0:00:40,tawowl1,0.049760766327381134,5
9,0:00:45,eurcoo,0.09557235985994339,1
9,0:00:45,commoo3,0.09205485135316849,2
9,0:00:45,tawowl1,0.06574249267578125,3
9,0:00:45,grebit1,0.032566655427217484,4
9,0:00:45,eueowl1,0.03172937408089638,5
10,0:00:50,tawowl1,0.06860427558422089,1
10,0:00:50,commoo3,0.061727408319711685,2
10,0:00:50,eurcoo,0.05836573615670204,3
10,0:00:50,loeowl,0.04457893595099449,4
10,0:00:50,grebit1,0.041223179548978806,5
11,0:00:55,loeowl,0.0814795270562172,1
11,0:00:55,tawowl1,0.07674572616815567,2
11,0:00:55,eurcoo,0.04981111362576485,3
11,0:00:55,commoo3,0.04609362408518791,4
11,0:00:55,watrai1,0.03294298052787781,5
12,0:01:00,loeowl,0.049497611820697784,1
12,0:01:00,norsho,0.04763106629252434,2
12,0:01:00,tawowl1,0.046530820429325104,3
12,0:01:00,eurcoo,0.03931786119937897,4
12,0:01:00,eueowl1,0.03368578106164932,5
13,0:01:05,tawowl1,0.08640378713607788,1
13,0:01:05,loeowl,0.07610660046339035,2
13,0:01:05,eueowl1,0.040652256458997726,3
13,0:01:05,commoo3,0.04036693274974823,4
13,0:01:05,eurcoo,0.039708029478788376,5
14,0:01:10,tawowl1,0.07545816153287888,1
14,0:01:10,loeowl,0.05268603563308716,2
14,0:01:10,eueowl1,0.05004199221730232,3
14,0:01:10,eurcoo,0.04223266988992691,4
14,0:01:10,commoo3,0.03899797797203064,5
15,0:01:15,eurcoo,0.09706546366214752,1
15,0:01:15,commoo3,0.07055486738681793,2
15,0:01:15,ortbun1,0.044700223952531815,3
15,0:01:15,watrai1,0.03684298321604729,4
15,0:01:15,tawowl1,0.035903967916965485,5
16,0:01:20,commoo3,0.06816656142473221,1
16,0:01:20,eurcoo,0.05874650925397873,2
16,0:01:20,tawowl1,0.054531749337911606,3
16,0:01:20,loeowl,0.04770202189683914,4
16,0:01:20,eueowl1,0.041697826236486435,5
17,0:01:25,eueowl1,0.14790873229503632,1
17,0:01:25,loeowl,0.1117958053946495,2
17,0:01:25,tawowl1,0.06509608775377274,3
17,0:01:25,commoo3,0.05888202041387558,4
17,0:01:25,eurcoo,0.05151129513978958,5
18,0:01:30,eurcoo,0.07941034436225891,1
18,0:01:30,commoo3,0.05803210660815239,2
18,0:01:30,tawowl1,0.04786833003163338,3
18,0:01:30,ortbun1,0.042065806686878204,4
18,0:01:30,eueowl1,0.031139032915234566,5
19,0:01:35,eurcoo,0.07209954410791397,1
19,0:01:35,commoo3,0.05545348674058914,2
19,0:01:35,tawowl1,0.055191103368997574,3
19,0:01:35,loeowl,0.04111314192414284,4
19,0:01:35,ortbun1,0.04020152986049652,5
20,0:01:40,eurcoo,0.10141163319349289,1
20,0:01:40,commoo3,0.08712208271026611,2
20,0:01:40,loeowl,0.08154276758432388,3
20,0:01:40,tawowl1,0.06354586780071259,4
20,0:01:40,ortbun1,0.04366498440504074,5
21,0:01:45,eurcoo,0.09211020171642303,1
21,0:01:45,tawowl1,0.07995782047510147,2
21,0:01:45,commoo3,0.07265916466712952,3
21,0:01:45,loeowl,0.07204277813434601,4
21,0:01:45,eueowl1,0.04836408421397209,5
22,0:01:50,tawowl1,0.08063625544309616,1
22,0:01:50,eueowl1,0.05010562390089035,2
22,0:01:50,loeowl,0.04652069881558418,3
22,0:01:50,eurcoo,0.042646024376153946,4
22,0:01:50,watrai1,0.042468249797821045,5
23,0:01:55,commoo3,0.09431599825620651,1
23,0:01:55,eurcoo,0.09428130835294724,2
23,0:01:55,tawowl1,0.06759495288133621,3
23,0:01:55,loeowl,0.04470976069569588,4
23,0:01:55,watrai1,0.04008227214217186,5
24,0:02:00,tawowl1,0.08112331479787827,1
24,0:02:00,commoo3,0.048459529876708984,2
24,0:02:00,eurcoo,0.043979596346616745,3
24,0:02:00,eueowl1,0.03955329954624176,4
24,0:02:00,watrai1,0.03419049456715584,5
25,0:02:05,eurcoo,0.043527234345674515,1
25,0:02:05,ortbun1,0.04177549481391907,2
25,0:02:05,commoo3,0.04102917015552521,3
25,0:02:05,comgre,0.04020510986447334,4
25,0:02:05,tawowl1,0.03891875222325325,5
26,0:02:10,loeowl,0.12030159682035446,1
26,0:02:10,tawowl1,0.0885305255651474,2
26,0:02:10,uraowl1,0.04111068695783615,3
26,0:02:10,eurcoo,0.03664545714855194,4
26,0:02:10,eueowl1,0.026694172993302345,5
27,0:02:15,eurcoo,0.05038704723119736,1
27,0:02:15,tawowl1,0.04839995503425598,2
27,0:02:15,jacsni,0.04637303948402405,3
27,0:02:15,watrai1,0.044771499931812286,4
27,0:02:15,loeowl,0.03922710567712784,5
28,0:02:20,norsho,0.43851107358932495,1
28,0:02:20,shtgro,0.047312527894973755,2
28,0:02:20,comcra,0.028776057064533234,3
28,0:02:20,tawowl1,0.025927258655428886,4
28,0:02:20,loeowl,0.021299192681908607,5
29,0:02:25,loeowl,0.09948897361755371,1
29,0:02:25,eueowl1,0.07559266686439514,2
29,0:02:25,eurcoo,0.06269025057554245,3
29,0:02:25,tawowl1,0.057295095175504684,4
29,0:02:25,commoo3,0.0388776920735836,5
30,0:02:30,eueowl1,0.10394302755594254,1
