frame,time,class,probability,probability_rank
0,0:00:00,comrav,0.06206533685326576,1
0,0:00:00,norsho,0.058837197721004486,2
0,0:00:00,tawowl1,0.04376817122101784,3
0,0:00:00,loeowl,0.038551829755306244,4
0,0:00:00,comcra,0.03516161069273949,5
1,0:00:05,loeowl,0.08100481331348419,1
1,0:00:05,tawowl1,0.05523481220006943,2
1,0:00:05,watrai1,0.031083781272172928,3
1,0:00:05,blawoo1,0.031016848981380463,4
1,0:00:05,commoo3,0.02933262474834919,5
2,0:00:10,loeowl,0.11627519875764847,1
2,0:00:10,eueowl1,0.09295772016048431,2
2,0:00:10,commoo3,0.05462646484375,3
2,0:00:10,uraowl1,0.04715457931160927,4
2,0:00:10,eurcoo,0.04483337700366974,5
3,0:00:15,eurcoo,0.05294182151556015,1
3,0:00:15,loeowl,0.049135368317365646,2
3,0:00:15,commoo3,0.04884069040417671,3
3,0:00:15,tawowl1,0.04854337126016617,4
3,0:00:15,ortbun1,0.04691806063055992,5
4,0:00:20,eurcoo,0.08409309387207031,1
4,0:00:20,tawowl1,0.06601538509130478,2
4,0:00:20,commoo3,0.06034498289227486,3
4,0:00:20,eueowl1,0.056956946849823,4
4,0:00:20,loeowl,0.04750518500804901,5
5,0:00:25,tawowl1,0.07015510648488998,1
5,0:00:25,loeowl,0.04634203016757965,2
5,0:00:25,eurcoo,0.04293281212449074,3
5,0:00:25,commoo3,0.03894377499818802,4
5,0:00:25,grebit1,0.036570366472005844,5
6,0:00:30,loeowl,0.07870104908943176,1
6,0:00:30,tawowl1,0.0675305500626564,2
6,0:00:30,eueowl1,0.04513593018054962,3
6,0:00:30,eurcoo,0.029742445796728134,4
6,0:00:30,commoo3,0.027902375906705856,5
7,0:00:35,loeowl,0.10497606545686722,1
7,0:00:35,tawowl1,0.06298786401748657,2
7,0:00:35,commoo3,0.06271614134311676,3
7,0:00:35,eueowl1,0.059320416301488876,4
7,0:00:35,eurcoo,0.05287142097949982,5
8,0:00:40,tawowl1,0.08177254348993301,1
8,0:00:40,watrai1,0.041563794016838074,2
8,0:00:40,eurcoo,0.03605525568127632,3
8,0:00:40,dunlin,0.03542756661772728,4
8,0:00:40,blawoo1,0.03417528420686722,5
9,0:00:45,tawowl1,0.07243315130472183,1
9,0:00:45,eueowl1,0.043199703097343445,2
9,0:00:45,loeowl,0.039751119911670685,3
9,0:00:45,ortbun1,0.0340910330414772,4
9,0:00:45,eurcoo,0.027716321870684624,5
10,0:00:50,tawowl1,0.07681727409362793,1
10,0:00:50,commoo3,0.06243203952908516,2
10,0:00:50,loeowl,0.0617610402405262,3
10,0:00:50,eueowl1,0.06071235239505768,4
10,0:00:50,eurcoo,0.05339377000927925,5
11,0:00:55,loeowl,0.09088198095560074,1
11,0:00:55,tawowl1,0.0377630889415741,2
11,0:00:55,commoo3,0.027063816785812378,3
11,0:00:55,eueowl1,0.02627226896584034,4
11,0:00:55,eugplo,0.024040965363383293,5
12,0:01:00,jacsni,0.06980488449335098,1
12,0:01:00,tawowl1,0.04848624765872955,2
12,0:01:00,commoo3,0.04410548880696297,3
12,0:01:00,eueowl1,0.0432039350271225,4
12,0:01:00,comrav,0.04069241136312485,5
13,0:01:05,loeowl,0.0996367558836937,1
13,0:01:05,eueowl1,0.0687422901391983,2
13,0:01:05,tawowl1,0.06420989334583282,3
13,0:01:05,eurcoo,0.023644674569368362,4
13,0:01:05,watrai1,0.018241146579384804,5
14,0:01:10,loeowl,0.11501448601484299,1
14,0:01:10,eueowl1,0.07651466876268387,2
14,0:01:10,eurcoo,0.06470070779323578,3
14,0:01:10,tawowl1,0.05318499729037285,4
14,0:01:10,watrai1,0.0381188690662384,5
15,0:01:15,commoo3,0.05905323103070259,1
15,0:01:15,eurcoo,0.05218969285488129,2
15,0:01:15,eueowl1,0.049436140805482864,3
15,0:01:15,tawowl1,0.047609731554985046,4
15,0:01:15,watrai1,0.032353874295949936,5
16,0:01:20,commoo3,0.07996849715709686,1
16,0:01:20,tawowl1,0.06996747106313705,2
16,0:01:20,eurcoo,0.05527254939079285,3
16,0:01:20,eueowl1,0.05192531645298004,4
16,0:01:20,loeowl,0.0461491234600544,5
17,0:01:25,eurcoo,0.096173495054245,1
17,0:01:25,tawowl1,0.06540929526090622,2
17,0:01:25,commoo3,0.06094340980052948,3
17,0:01:25,watrai1,0.04683621600270271,4
17,0:01:25,eueowl1,0.03957612067461014,5
18,0:01:30,eurcoo,0.07156825810670853,1
18,0:01:30,tawowl1,0.05792657658457756,2
18,0:01:30,commoo3,0.0500795803964138,3
18,0:01:30,eueowl1,0.0364203117787838,4
18,0:01:30,loeowl,0.03540242835879326,5
19,0:01:35,tawowl1,0.08507329970598221,1
19,0:01:35,eurcoo,0.06745811551809311,2
19,0:01:35,commoo3,0.05730284005403519,3
19,0:01:35,eueowl1,0.05134783685207367,4
19,0:01:35,loeowl,0.030529752373695374,5
20,0:01:40,eueowl1,0.0888613611459732,1
20,0:01:40,tawowl1,0.06730622053146362,2
20,0:01:40,loeowl,0.053195856511592865,3
20,0:01:40,grhowl,0.049602922052145004,4
20,0:01:40,uraowl1,0.04427609592676163,5
21,0:01:45,tawowl1,0.08455008268356323,1
21,0:01:45,loeowl,0.07036478072404861,2
21,0:01:45,eurcoo,0.06472284346818924,3
21,0:01:45,watrai1,0.041772253811359406,4
21,0:01:45,eueowl1,0.025307107716798782,5
22,0:01:50,loeowl,0.07529028505086899,1
22,0:01:50,eueowl1,0.06457443535327911,2
22,0:01:50,tawowl1,0.04540495574474335,3
22,0:01:50,eurcoo,0.029817184433341026,4
22,0:01:50,commoo3,0.02365262061357498,5
23,0:01:55,tawowl1,0.08900884538888931,1
23,0:01:55,loeowl,0.05759264528751373,2
23,0:01:55,eueowl1,0.048665352165699005,3
23,0:01:55,eurcoo,0.03008829429745674,4
23,0:01:55,commoo3,0.020854849368333817,5
24,0:02:00,loeowl,0.2854445278644562,1
24,0:02:00,tawowl1,0.07552015036344528,2
24,0:02:00,eueowl1,0.0345938578248024,3
24,0:02:00,commoo3,0.026933901011943817,4
24,0:02:00,eurcoo,0.026612572371959686,5
25,0:02:05,norsho,0.07140860706567764,1
25,0:02:05,loeowl,0.05275414139032364,2
25,0:02:05,tawowl1,0.05272931978106499,3
25,0:02:05,blawoo1,0.05047116056084633,4
25,0:02:05,jacsni,0.049232564866542816,5
26,0:02:10,commoo3,0.22097237408161163,1
26,0:02:10,comcra,0.04238414391875267,2
26,0:02:10,loeowl,0.04033661261200905,3
26,0:02:10,tawowl1,0.03138745203614235,4
26,0:02:10,grswoo,0.03123130463063717,5
27,0:02:15,loeowl,0.15780416131019592,1
27,0:02:15,tawowl1,0.057369690388441086,2
27,0:02:15,eurcoo,0.04829255864024162,3
27,0:02:15,commoo3,0.04515032470226288,4
27,0:02:15,watrai1,0.02809336967766285,5
28,0:02:20,loeowl,0.07974832504987717,1
28,0:02:20,tawowl1,0.04981733486056328,2
28,0:02:20,eueowl1,0.037648413330316544,3
28,0:02:20,eurcoo,0.030112218111753464,4
28,0:02:20,ortbun1,0.027110261842608452,5
29,0:02:25,eurcoo,0.11231117695569992,1
29,0:02:25,ortbun1,0.0651453509926796,2
29,0:02:25,commoo3,0.04761795699596405,3
29,0:02:25,watrai1,0.04552282765507698,4
29,0:02:25,tawowl1,0.04186658188700676,5
30,0:02:30,loeowl,0.06729361414909363,1
30,0:02:30,jacsni,0.05954714119434357,2
30,0:02:30,tawowl1,0.04574131965637207,3
30,0:02:30,eurwoo,0.0401696041226387,4
30,0:02:30,eurcoo,0.027231622487306595,5
31,0:02:35,loeowl,0.06378334015607834,1
31,0:02:35,tawowl1,0.055848971009254456,2
31,0:02:35,watrai1,0.03846217691898346,3
31,0:02:35,eurcoo,0.03376104310154915,4
31,0:02:35,blawoo1,0.028650254011154175,5
32,0:02:40,tawowl1,0.08434518426656723,1
32,0:02:40,eueowl1,0.07270411401987076,2
32,0:02:40,loeowl,0.06371653079986572,3
32,0:02:40,commoo3,0.06017241254448891,4
32,0:02:40,eurcoo,0.046829722821712494,5
33,0:02:45,tawowl1,0.10188143700361252,1
33,0:02:45,loeowl,0.0709015354514122,2
33,0:02:45,eurcoo,0.06522684544324875,3
33,0:02:45,commoo3,0.04782810062170029,4
33,0:02:45,watrai1,0.043534986674785614,5
34,0:02:50,loeowl,0.08596903830766678,1
34,0:02:50,tawowl1,0.0795992910861969,2
34,0:02:50,eueowl1,0.07296808063983917,3
34,0:02:50,eurcoo,0.05996312201023102,4
34,0:02:50,commoo3,0.039722323417663574,5
35,0:02:55,eurcoo,0.0963279977440834,1
35,0:02:55,loeowl,0.09566447883844376,2
35,0:02:55,tawowl1,0.06960003823041916,3
35,0:02:55,watrai1,0.03977048769593239,4
35,0:02:55,commoo3,0.038926057517528534,5
