frame,class,probability
0,random_other,0.9983048439025879
1,picus_viridis,0.916069746017456
2,picus_viridis,0.9974689483642578
3,random_other,0.7494328022003174
4,picus_viridis,0.6946278810501099
5,random_other,0.9819239974021912
6,picus_viridis,0.9553951025009155
7,phasianus_colchicus,0.5536867380142212
8,picus_viridis,0.9761852622032166
9,picus_viridis,0.5222328305244446
10,picus_viridis,0.9707343578338623
11,picus_viridis,0.9812889099121094
12,random_other,0.8758006691932678
13,picus_viridis,0.9986477494239807
14,random_other,0.9981998205184937
15,picus_viridis,0.993457019329071
16,picus_viridis,0.7893399000167847
17,picus_viridis,0.7726092338562012
18,picus_viridis,0.9725377559661865
19,picus_viridis,0.9983454942703247
20,picus_viridis,0.988653838634491
21,picus_viridis,0.9987242817878723
22,picus_viridis,0.9801102876663208
23,picus_viridis,0.9984299540519714
24,picus_viridis,0.9928951859474182
25,picus_viridis,0.9671839475631714
26,picus_viridis,0.7499658465385437
27,picus_viridis,0.6499584913253784
28,picus_viridis,0.9773991107940674
29,picus_viridis,0.9542649388313293
30,picus_viridis,0.8200699687004089
31,picus_viridis,0.977627694606781
32,picus_viridis,0.9392451643943787
33,picus_viridis,0.6850700378417969
34,random_other,0.9746886491775513
35,picus_viridis,0.9943013191223145
36,picus_viridis,0.8865549564361572
37,random_other,0.9697950482368469
38,picus_viridis,0.9950359463691711
39,picus_viridis,0.9966028928756714
40,picus_viridis,0.9206661581993103
41,picus_viridis,0.9387310743331909
42,picus_viridis,0.984915018081665
43,picus_viridis,0.9239540100097656
44,picus_viridis,0.9417367577552795
45,picus_viridis,0.8082179427146912
46,picus_viridis,0.777213454246521
47,picus_viridis,0.9925175905227661
48,picus_viridis,0.988517165184021
49,picus_viridis,0.9808493256568909
50,picus_viridis,0.9731549024581909
51,picus_viridis,0.9974426031112671
52,picus_viridis,0.9464990496635437
53,picus_viridis,0.980484664440155
54,picus_viridis,0.9578267335891724
55,random_other,0.5378351807594299
56,picus_viridis,0.9782715439796448
57,picus_viridis,0.9628155827522278
58,picus_viridis,0.8227219581604004
59,picus_viridis,0.9860135912895203
60,picus_viridis,0.8207248449325562
61,picus_viridis,0.9682331085205078
62,picus_viridis,0.9987267851829529
63,picus_viridis,0.9904564023017883
64,picus_viridis,0.9954415559768677
65,picus_viridis,0.9993728995323181
66,picus_viridis,0.9980996251106262
67,picus_viridis,0.9863386750221252
68,picus_viridis,0.9792942404747009
69,picus_viridis,0.9993181228637695
70,picus_viridis,0.9415333271026611
71,picus_viridis,0.945702075958252
72,picus_viridis,0.9600266218185425
73,random_other,0.9611840844154358
