frame,time,class,probability
0,0:00:00,tawowl1,0.12591338157653809
1,0:00:05,tawowl1,0.10133332759141922
2,0:00:10,loeowl,0.128676638007164
3,0:00:15,eurrob1,0.20252195000648499
4,0:00:20,tawowl1,0.08405463397502899
5,0:00:25,loeowl,0.14766784012317657
6,0:00:30,eurcoo,0.15520556271076202
7,0:00:35,eurcoo,0.12405522167682648
8,0:00:40,commoo3,0.15159617364406586
9,0:00:45,tawowl1,0.14516113698482513
10,0:00:50,commoo3,0.10653160512447357
11,0:00:55,eurcoo,0.11439165472984314
12,0:01:00,eurcoo,0.09130482375621796
13,0:01:05,tawowl1,0.11080048233270645
14,0:01:10,eurcoo,0.10784880071878433
15,0:01:15,tawowl1,0.09683723002672195
16,0:01:20,eueowl1,0.19369186460971832
17,0:01:25,commoo3,0.17214323580265045
18,0:01:30,loeowl,0.09680303931236267
19,0:01:35,shtgro,0.09222903102636337
20,0:01:40,comrav,0.1548377126455307
21,0:01:45,eurcoo,0.16298606991767883
22,0:01:50,tawowl1,0.12407271564006805
23,0:01:55,tawowl1,0.07378891110420227
24,0:02:00,tawowl1,0.07892513275146484
25,0:02:05,loeowl,0.06693316251039505
26,0:02:10,corbun1,0.05390308052301407
27,0:02:15,loeowl,0.06496518850326538
28,0:02:20,loeowl,0.06432874500751495
29,0:02:25,loeowl,0.058014433830976486
30,0:02:30,tawowl1,0.07119990140199661
31,0:02:35,tawowl1,0.045337460935115814
32,0:02:40,tawowl1,0.08159525692462921
33,0:02:45,eurcoo,0.055182669311761856
34,0:02:50,tawowl1,0.046375054866075516
35,0:02:55,tawowl1,0.10197796672582626
36,0:03:00,eueowl1,0.1279294490814209
37,0:03:05,eueowl1,0.06872368603944778
38,0:03:10,eurcoo,0.10485516488552094
39,0:03:15,eurcoo,0.08766328543424606
40,0:03:20,tawowl1,0.07622352242469788
41,0:03:25,tawowl1,0.09741868823766708
42,0:03:30,loeowl,0.2992189824581146
43,0:03:35,tawowl1,0.06046079844236374
44,0:03:40,loeowl,0.12875322997570038
45,0:03:45,loeowl,0.2532689869403839
46,0:03:50,tawowl1,0.10307507961988449
47,0:03:55,tawowl1,0.14847517013549805
48,0:04:00,tawowl1,0.08523470908403397
49,0:04:05,eurcoo,0.11799473315477371
50,0:04:10,tawowl1,0.15884502232074738
51,0:04:15,tawowl1,0.19421164691448212
52,0:04:20,eurrob1,0.07098831236362457
53,0:04:25,tawowl1,0.1407073736190796
54,0:04:30,tawowl1,0.10915497690439224
55,0:04:35,tawowl1,0.1242854967713356
56,0:04:40,tawowl1,0.12405479699373245
57,0:04:45,watrai1,0.07532399892807007
58,0:04:50,eurcoo,0.07390914112329483
59,0:04:55,tawowl1,0.1059701070189476
60,0:05:00,tawowl1,0.09384547919034958
61,0:05:05,tawowl1,0.09665857255458832
62,0:05:10,commoo3,0.07671669870615005
63,0:05:15,tawowl1,0.101096011698246
64,0:05:20,loeowl,0.33043456077575684
65,0:05:25,eueowl1,0.42641836404800415
66,0:05:30,commoo3,0.10958763211965561
67,0:05:35,tawowl1,0.14942242205142975
68,0:05:40,tawowl1,0.10621755570173264
69,0:05:45,tawowl1,0.1264284998178482
70,0:05:50,tawowl1,0.09201955795288086
71,0:05:55,eurrob1,0.10493460297584534
72,0:06:00,tawowl1,0.07437949627637863
73,0:06:05,tawowl1,0.11334187537431717
74,0:06:10,tawowl1,0.14420829713344574
75,0:06:15,tawowl1,0.08692701160907745
76,0:06:20,tawowl1,0.11302696168422699
77,0:06:25,tawowl1,0.1099492758512497
78,0:06:30,tawowl1,0.14243356883525848
79,0:06:35,loeowl,0.12942694127559662
80,0:06:40,tawowl1,0.1279890388250351
81,0:06:45,tawowl1,0.11193067580461502
82,0:06:50,tawowl1,0.0947909876704216
83,0:06:55,tawowl1,0.1389710009098053
84,0:07:00,tawowl1,0.21833673119544983
85,0:07:05,tawowl1,0.08937682956457138
86,0:07:10,tawowl1,0.10228855162858963
87,0:07:15,tawowl1,0.090883769094944
88,0:07:20,loeowl,0.24916011095046997
89,0:07:25,eueowl1,0.15182845294475555
90,0:07:30,tawowl1,0.1079617291688919
91,0:07:35,eurcoo,0.06412743031978607
92,0:07:40,loeowl,0.28835728764533997
93,0:07:45,tawowl1,0.13751168549060822
94,0:07:50,tawowl1,0.08726847916841507
95,0:07:55,loeowl,0.30791163444519043
96,0:08:00,tawowl1,0.10542485117912292
97,0:08:05,tawowl1,0.10536055266857147
98,0:08:10,tawowl1,0.13159948587417603
99,0:08:15,bargoo,0.11008320748806
100,0:08:20,tawowl1,0.11212791502475739
101,0:08:25,loeowl,0.25395822525024414
