frame,time,class,probability
0,0:00:00,loeowl,0.11083769053220749
1,0:00:05,loeowl,0.06638427823781967
2,0:00:10,tawowl1,0.10530225187540054
3,0:00:15,eurcoo,0.10320236533880234
4,0:00:20,tawowl1,0.10378513485193253
5,0:00:25,tawowl1,0.09082220494747162
6,0:00:30,tawowl1,0.0984593853354454
7,0:00:35,tawowl1,0.0897771418094635
8,0:00:40,tawowl1,0.10104358196258545
9,0:00:45,tawowl1,0.06230737268924713
10,0:00:50,commoo3,0.10793556272983551
11,0:00:55,tawowl1,0.09211649000644684
12,0:01:00,tawowl1,0.10437283664941788
13,0:01:05,eurcoo,0.06524079293012619
14,0:01:10,tawowl1,0.08363620191812515
15,0:01:15,eurcoo,0.0946405753493309
16,0:01:20,tawowl1,0.08389508724212646
17,0:01:25,tawowl1,0.07294278591871262
18,0:01:30,tawowl1,0.09415515512228012
19,0:01:35,tawowl1,0.13673485815525055
20,0:01:40,commoo3,0.06791480630636215
21,0:01:45,commoo3,0.08540712296962738
22,0:01:50,eurrob1,0.11877129971981049
23,0:01:55,tawowl1,0.08968468755483627
24,0:02:00,tawowl1,0.08337266743183136
25,0:02:05,loeowl,0.09457653760910034
26,0:02:10,tawowl1,0.0873953327536583
27,0:02:15,tawowl1,0.09762320667505264
28,0:02:20,tawowl1,0.07522479444742203
29,0:02:25,tawowl1,0.11309123039245605
30,0:02:30,tawowl1,0.09426577389240265
31,0:02:35,tawowl1,0.08644618093967438
32,0:02:40,tawowl1,0.13874341547489166
33,0:02:45,loeowl,0.0955117791891098
34,0:02:50,tawowl1,0.07147938758134842
35,0:02:55,norsho,0.07296416908502579
36,0:03:00,loeowl,0.09117747098207474
37,0:03:05,tawowl1,0.0779876783490181
38,0:03:10,tawowl1,0.12348682433366776
39,0:03:15,eurcoo,0.07637517154216766
40,0:03:20,tawowl1,0.12322374433279037
41,0:03:25,tawowl1,0.11257179826498032
42,0:03:30,tawowl1,0.10307257622480392
43,0:03:35,tawowl1,0.1039433553814888
44,0:03:40,tawowl1,0.10902725905179977
45,0:03:45,tawowl1,0.14083538949489594
46,0:03:50,tawowl1,0.08495921641588211
47,0:03:55,tawowl1,0.12158562988042831
48,0:04:00,loeowl,0.082892045378685
49,0:04:05,eurrob1,0.06136947125196457
50,0:04:10,loeowl,0.1120128482580185
51,0:04:15,tawowl1,0.07555116713047028
52,0:04:20,eurcoo,0.09888972342014313
53,0:04:25,eueowl1,0.0869336724281311
54,0:04:30,tawowl1,0.08514232933521271
55,0:04:35,loeowl,0.2545107901096344
56,0:04:40,loeowl,0.10756819695234299
57,0:04:45,loeowl,0.10127636790275574
58,0:04:50,tawowl1,0.08236249536275864
59,0:04:55,eueowl1,0.09132514148950577
60,0:05:00,tawowl1,0.08954411000013351
61,0:05:05,tawowl1,0.08259334415197372
62,0:05:10,tawowl1,0.08784067630767822
63,0:05:15,loeowl,0.07819197326898575
64,0:05:20,tawowl1,0.084835946559906
65,0:05:25,tawowl1,0.10658407211303711
66,0:05:30,loeowl,0.1826065480709076
67,0:05:35,tawowl1,0.08312126249074936
68,0:05:40,tawowl1,0.13072256743907928
69,0:05:45,commoo3,0.055893152952194214
70,0:05:50,commoo3,0.08345282822847366
71,0:05:55,tawowl1,0.08799004554748535
72,0:06:00,tawowl1,0.0467432402074337
73,0:06:05,rinphe,0.07139123231172562
74,0:06:10,loeowl,0.07783631235361099
75,0:06:15,loeowl,0.08824963122606277
76,0:06:20,tawowl1,0.0663323625922203
77,0:06:25,tawowl1,0.11683083325624466
78,0:06:30,loeowl,0.23549625277519226
79,0:06:35,loeowl,0.12732380628585815
80,0:06:40,tawowl1,0.07790427654981613
81,0:06:45,tawowl1,0.06749261915683746
82,0:06:50,loeowl,0.08081425726413727
83,0:06:55,loeowl,0.10257511585950851
84,0:07:00,tawowl1,0.07533150911331177
85,0:07:05,tawowl1,0.05454428866505623
86,0:07:10,eueowl1,0.04326029121875763
87,0:07:15,blawoo1,0.06229960545897484
88,0:07:20,loeowl,0.04790282994508743
89,0:07:25,tawowl1,0.09014178812503815
90,0:07:30,loeowl,0.03340664878487587
91,0:07:35,loeowl,0.06589687615633011
92,0:07:40,tawowl1,0.05550635978579521
93,0:07:45,loeowl,0.07380938529968262
94,0:07:50,tawowl1,0.07790309935808182
95,0:07:55,eueowl1,0.04693819582462311
96,0:08:00,loeowl,0.04654781520366669
97,0:08:05,tawowl1,0.04651115834712982
98,0:08:10,loeowl,0.10845869779586792
99,0:08:15,tawowl1,0.05505141243338585
100,0:08:20,loeowl,0.03376208618283272
101,0:08:25,tawowl1,0.06781046092510223
102,0:08:30,loeowl,0.08380919694900513
103,0:08:35,loeowl,0.09430990368127823
104,0:08:40,loeowl,0.070432148873806
105,0:08:45,tawowl1,0.041548021137714386
106,0:08:50,loeowl,0.10509690642356873
107,0:08:55,eueowl1,0.03850392624735832
108,0:09:00,loeowl,0.06887675821781158
109,0:09:05,tawowl1,0.10036001354455948
110,0:09:10,blagro1,0.06446749716997147
111,0:09:15,shttre1,0.09159886837005615
112,0:09:20,loeowl,0.06484153866767883
113,0:09:25,loeowl,0.21289201080799103
114,0:09:30,tawowl1,0.04472404718399048
115,0:09:35,corbun1,0.10428431630134583
116,0:09:40,blawoo1,0.030332546681165695
117,0:09:45,norsho,0.03405715897679329
118,0:09:50,loeowl,0.036283448338508606
119,0:09:55,comrav,0.02688232995569706
120,0:10:00,jacsni,0.0344027541577816
121,0:10:05,tawowl1,0.04345381259918213
122,0:10:10,commoo3,0.4935038387775421
123,0:10:15,tawowl1,0.05312678962945938
124,0:10:20,tawowl1,0.08529801666736603
125,0:10:25,eueowl1,0.06605268269777298
126,0:10:30,tawowl1,0.024115635082125664
127,0:10:35,eueowl1,0.05889393389225006
128,0:10:40,eueowl1,0.046043023467063904
129,0:10:45,rocpig,0.1477098912000656
130,0:10:50,tawowl1,0.07302127778530121
131,0:10:55,tawowl1,0.028493469581007957
132,0:11:00,tawowl1,0.09160549193620682
133,0:11:05,tawowl1,0.08966519683599472
134,0:11:10,eurcoo,0.050745073705911636
135,0:11:15,watrai1,0.11277224123477936
136,0:11:20,tawowl1,0.08138303458690643
137,0:11:25,eurcoo,0.07781483232975006
138,0:11:30,tawowl1,0.07464998215436935
139,0:11:35,loeowl,0.060091353952884674
140,0:11:40,jacsni,0.05863291770219803
141,0:11:45,comrav,0.07771614193916321
142,0:11:50,norsho,0.43183082342147827
143,0:11:55,grywag,0.40248629450798035
144,0:12:00,loeowl,0.11639665067195892
145,0:12:05,tawowl1,0.03566629812121391
146,0:12:10,tawowl1,0.09137289971113205
147,0:12:15,comrav,0.03125254064798355
148,0:12:20,loeowl,0.0715307667851448
149,0:12:25,tawowl1,0.051330432295799255
150,0:12:30,tawowl1,0.050066765397787094
151,0:12:35,tawowl1,0.08136674761772156
152,0:12:40,loeowl,0.08078060299158096
153,0:12:45,loeowl,0.08422431349754333
154,0:12:50,comrav,0.09787801653146744
155,0:12:55,comchi1,0.10588992387056351
156,0:13:00,rocpig,0.17399993538856506
157,0:13:05,shttre1,0.07981736212968826
158,0:13:10,comkin1,0.1649976670742035
159,0:13:15,shttre1,0.03262724727392197
160,0:13:20,loeowl,0.1525454819202423
161,0:13:25,litbun,0.06801222264766693
162,0:13:30,loeowl,0.15706439316272736
163,0:13:35,tawowl1,0.040276166051626205
164,0:13:40,tawowl1,0.068138986825943
165,0:13:45,tawowl1,0.06293540447950363
166,0:13:50,commoo3,0.04013943672180176
167,0:13:55,comrav,0.043009448796510696
168,0:14:00,tawowl1,0.09442044794559479
169,0:14:05,blawoo1,0.11464803665876389
170,0:14:10,rinphe,0.08143867552280426
171,0:14:15,tawowl1,0.06801864504814148
172,0:14:20,loeowl,0.11877181380987167
173,0:14:25,loeowl,0.07801686227321625
174,0:14:30,commoo3,0.06415603309869766
175,0:14:35,tawowl1,0.08475000411272049
176,0:14:40,tawowl1,0.09334325045347214
177,0:14:45,commoo3,0.23717732727527618
178,0:14:50,loeowl,0.08081599324941635
179,0:14:55,loeowl,0.09949677437543869
180,0:15:00,loeowl,0.058223623782396317
181,0:15:05,eueowl1,0.09442289918661118
182,0:15:10,tawowl1,0.07208550721406937
183,0:15:15,loeowl,0.07516039907932281
184,0:15:20,tawowl1,0.07571066170930862
185,0:15:25,loeowl,0.10378958284854889
186,0:15:30,loeowl,0.06796178221702576
