frame,time,class,probability
0,0:00:00,tawowl1,0.1537456065416336
1,0:00:05,loeowl,0.24370786547660828
2,0:00:10,loeowl,0.5832661986351013
3,0:00:15,loeowl,0.12059330195188522
4,0:00:20,grebit1,0.11121560633182526
5,0:00:25,loeowl,0.2075204700231552
6,0:00:30,tawowl1,0.11611749231815338
7,0:00:35,litbit1,0.8979843854904175
8,0:00:40,whoswa,0.4680895209312439
9,0:00:45,loeowl,0.1339547485113144
10,0:00:50,tawowl1,0.16910117864608765
11,0:00:55,grebit1,0.09988626092672348
12,0:01:00,tawowl1,0.10514325648546219
13,0:01:05,grebit1,0.3547109365463257
14,0:01:10,tawowl1,0.14707061648368835
15,0:01:15,loeowl,0.18416109681129456
16,0:01:20,loeowl,0.13780376315116882
17,0:01:25,loeowl,0.21383358538150787
18,0:01:30,grebit1,0.08155454695224762
19,0:01:35,tawowl1,0.1599394530057907
20,0:01:40,loeowl,0.16599130630493164
21,0:01:45,loeowl,0.20882877707481384
22,0:01:50,loeowl,0.10750432312488556
23,0:01:55,tawowl1,0.16591523587703705
24,0:02:00,watrai1,0.4013941287994385
25,0:02:05,tawowl1,0.14633509516716003
26,0:02:10,tawowl1,0.1419217437505722
27,0:02:15,tawowl1,0.12462165951728821
28,0:02:20,tawowl1,0.12731041014194489
29,0:02:25,grebit1,0.34163179993629456
30,0:02:30,tawowl1,0.1408594846725464
31,0:02:35,loeowl,0.18130241334438324
32,0:02:40,tawowl1,0.19194066524505615
33,0:02:45,tawowl1,0.1465272605419159
34,0:02:50,tawowl1,0.1302165538072586
35,0:02:55,tawowl1,0.15198713541030884
36,0:03:00,tawowl1,0.18130706250667572
37,0:03:05,tawowl1,0.1647908091545105
38,0:03:10,loeowl,0.14711329340934753
39,0:03:15,loeowl,0.1335344910621643
40,0:03:20,tawowl1,0.12198233604431152
41,0:03:25,tawowl1,0.16925501823425293
42,0:03:30,tawowl1,0.14015887677669525
43,0:03:35,loeowl,0.31202417612075806
44,0:03:40,eueowl1,0.20510514080524445
45,0:03:45,loeowl,0.18279129266738892
46,0:03:50,tawowl1,0.09542948752641678
47,0:03:55,loeowl,0.15779228508472443
48,0:04:00,tawowl1,0.1544303447008133
49,0:04:05,uraowl1,0.23580603301525116
50,0:04:10,litbit1,0.31020990014076233
51,0:04:15,tawowl1,0.1330118030309677
52,0:04:20,tawowl1,0.10537295043468475
53,0:04:25,loeowl,0.1128944531083107
54,0:04:30,tawowl1,0.144896000623703
55,0:04:35,tawowl1,0.17927011847496033
56,0:04:40,loeowl,0.09317032247781754
57,0:04:45,tawowl1,0.1303640604019165
58,0:04:50,loeowl,0.08188547939062119
59,0:04:55,eueowl1,0.5871992111206055
60,0:05:00,tawowl1,0.08150240033864975
61,0:05:05,tawowl1,0.15447263419628143
62,0:05:10,tawowl1,0.15060167014598846
63,0:05:15,tawowl1,0.14251169562339783
64,0:05:20,tawowl1,0.12948395311832428
65,0:05:25,tawowl1,0.16772645711898804
66,0:05:30,loeowl,0.29328832030296326
67,0:05:35,loeowl,0.37244340777397156
68,0:05:40,tawowl1,0.1376381516456604
69,0:05:45,grebit1,0.4889284074306488
70,0:05:50,tawowl1,0.1371902972459793
71,0:05:55,tawowl1,0.13524921238422394
72,0:06:00,tawowl1,0.1233602836728096
73,0:06:05,tawowl1,0.12210944294929504
74,0:06:10,tawowl1,0.1080814003944397
75,0:06:15,borowl,0.40207815170288086
76,0:06:20,tawowl1,0.2418326586484909
77,0:06:25,tawowl1,0.11938881874084473
78,0:06:30,borowl,0.13553732633590698
79,0:06:35,tawowl1,0.1286332607269287
80,0:06:40,tawowl1,0.1663554310798645
81,0:06:45,loeowl,0.17230479419231415
82,0:06:50,tawowl1,0.13311254978179932
83,0:06:55,borowl,0.22215567529201508
84,0:07:00,tawowl1,0.12243738025426865
85,0:07:05,loeowl,0.1548340916633606
86,0:07:10,borowl,0.23790307343006134
87,0:07:15,loeowl,0.14628906548023224
88,0:07:20,loeowl,0.26456284523010254
89,0:07:25,loeowl,0.13938947021961212
90,0:07:30,loeowl,0.17536962032318115
91,0:07:35,borowl,0.2566741108894348
92,0:07:40,borowl,0.216413676738739
93,0:07:45,tawowl1,0.17771507799625397
94,0:07:50,loeowl,0.14238356053829193
95,0:07:55,loeowl,0.14917625486850739
96,0:08:00,loeowl,0.2993134558200836
97,0:08:05,tawowl1,0.1401262879371643
98,0:08:10,tawowl1,0.14655664563179016
99,0:08:15,loeowl,0.7775503396987915
100,0:08:20,tawowl1,0.08234112709760666
101,0:08:25,tawowl1,0.09344083070755005
102,0:08:30,tawowl1,0.1417330950498581
103,0:08:35,comcuc,0.22510074079036713
104,0:08:40,loeowl,0.22452262043952942
105,0:08:45,tawowl1,0.12846586108207703
106,0:08:50,loeowl,0.24337272346019745
107,0:08:55,loeowl,0.5003581047058105
108,0:09:00,grebit1,0.11670850962400436
109,0:09:05,tawowl1,0.11268027871847153
110,0:09:10,tawowl1,0.10082102566957474
111,0:09:15,tawowl1,0.13226701319217682
112,0:09:20,loeowl,0.21212035417556763
113,0:09:25,tawowl1,0.16559956967830658
114,0:09:30,loeowl,0.12583507597446442
115,0:09:35,loeowl,0.2508810758590698
116,0:09:40,tawowl1,0.13317522406578064
117,0:09:45,tawowl1,0.17006981372833252
118,0:09:50,tawowl1,0.14033685624599457
119,0:09:55,tawowl1,0.12845510244369507
120,0:10:00,tawowl1,0.12358064949512482
121,0:10:05,tawowl1,0.14063534140586853
122,0:10:10,loeowl,0.11931237578392029
123,0:10:15,blagro1,0.5043819546699524
124,0:10:20,tawowl1,0.09862792491912842
125,0:10:25,tawowl1,0.11535412073135376
126,0:10:30,loeowl,0.13346874713897705
127,0:10:35,loeowl,0.15093529224395752
128,0:10:40,tawowl1,0.10566249489784241
129,0:10:45,loeowl,0.11349736154079437
130,0:10:50,loeowl,0.1910637766122818
131,0:10:55,loeowl,0.14844563603401184
132,0:11:00,loeowl,0.38822221755981445
133,0:11:05,uraowl1,0.5308390259742737
134,0:11:10,tawowl1,0.12212221324443817
135,0:11:15,loeowl,0.6425027847290039
136,0:11:20,loeowl,0.1404828280210495
137,0:11:25,grhowl,0.9135441184043884
138,0:11:30,tawowl1,0.13829465210437775
139,0:11:35,loeowl,0.2469642162322998
140,0:11:40,loeowl,0.10259275883436203
141,0:11:45,tawowl1,0.13574939966201782
142,0:11:50,tawowl1,0.1294957399368286
143,0:11:55,tawowl1,0.11455783247947693
144,0:12:00,loeowl,0.7271133065223694
145,0:12:05,tawowl1,0.13251963257789612
